# SCAN started at: 2019-02-14 11:10:39
# Elen_Scan Mass: 146 Resolution: 100
# ----------------------------------------
# XGS2: >2.076E-06,2.000E-08,OPEN     ,4.303E+00,OPEN     ,OPEN
# 2019-02-14 11:14:41
# 
0	4.667	2	6	6
0.01	0	0	0	0
0.02	0.6667	0	2	0
0.03	0.6667	2	0	0
0.04	0.6667	0	0	2
0.05	0.6667	0	2	0
0.06	0	0	0	0
0.07	0	0	0	0
0.08	0	0	0	0
0.09	0	0	0	0
0.1	0	0	0	0
0.11	0	0	0	0
0.12	0	0	0	0
0.13	0	0	0	0
0.14	0	0	0	0
0.15	0.6667	2	0	0
0.16	0.6667	0	0	2
0.17	0.6667	2	0	0
0.18	0	0	0	0
0.19	0	0	0	0
0.2	1.333	0	0	4
0.21	0.6667	0	2	0
0.22	1.333	2	0	2
0.23	1.333	2	2	0
0.24	0.6667	0	0	2
0.25	1.333	0	0	4
0.26	1.333	2	2	0
0.27	1.333	2	0	2
0.28	2	2	4	0
0.29	4.667	4	4	6
0.3	1.333	0	4	0
0.31	8.667	10	8	8
0.32	8.667	6	12	8
0.33	9.333	8	14	6
0.34	8	6	8	10
0.35	12.67	10	14	14
0.36	16	16	18	14
0.37	33.33	28	44	28
0.38	32.67	36	38	24
0.39	50	46	56	48
0.4	43.33	44	48	38
0.41	63.33	48	80	62
0.42	93.33	82	108	90
0.43	94.67	96	110	78
0.44	128	128	130	126
0.45	164	150	180	162
0.46	182	154	202	190
0.47	211.3	198	202	234
0.48	240.7	228	246	248
0.49	215.3	218	226	202
0.5	204	188	200	224
0.51	182	160	196	190
0.52	172.7	156	174	188
0.53	148	160	140	144
0.54	125.3	144	118	114
0.55	124.7	120	128	126
0.56	114	140	98	104
0.57	101.3	96	110	98
0.58	78.67	72	76	88
0.59	80	72	86	82
0.6	87.33	82	72	108
0.61	70	66	76	68
0.62	70.67	56	78	78
0.63	46	44	48	46
0.64	40.67	28	44	50
0.65	45.33	46	44	46
0.66	43.33	42	28	60
0.67	20	12	24	24
0.68	28	16	38	30
0.69	20	18	22	20
0.7	18	18	22	14
0.71	14	14	16	12
0.72	14.67	8	22	14
0.73	10.67	8	8	16
0.74	4	4	4	4
0.75	6.667	2	10	8
0.76	7.333	4	10	8
0.77	7.333	4	14	4
0.78	2.667	2	6	0
0.79	7.333	10	6	6
0.8	4	8	0	4
0.81	4	2	4	6
0.82	6	12	4	2
0.83	2	4	0	2
0.84	4	4	2	6
0.85	2.667	4	2	2
0.86	3.333	2	8	0
0.87	2	2	2	2
0.88	2	0	4	2
0.89	2	4	2	0
0.9	2.667	2	2	4
0.91	2	4	0	2
0.92	3.333	2	2	6
0.93	3.333	6	4	0
0.94	6	4	8	6
0.95	4	4	2	6
0.96	4	6	2	4
0.97	2.667	4	4	0
0.98	4	4	2	6
0.99	2.667	4	2	2
1	1.333	0	4	0
1.01	3.333	2	4	4
1.02	2	2	0	4
1.03	0.6667	0	0	2
1.04	6	8	10	0
1.05	2.667	0	4	4
1.06	1.333	2	2	0
1.07	3.333	0	4	6
1.08	4	2	6	4
1.09	2	2	2	2
1.1	2	4	0	2
1.11	2	0	2	4
1.12	1.333	0	4	0
1.13	2.667	0	4	4
1.14	0	0	0	0
1.15	4.667	2	2	10
1.16	2	2	2	2
1.17	1.333	2	0	2
1.18	1.333	0	4	0
1.19	1.333	0	0	4
1.2	3.333	0	8	2
