# Energy shift = 1.04
# a_1: -0.106 +- 0.034, a_0: 0.0 +- 1.4, domain: [12.100000000000001eV ,14.469999999999999eV]
# Y-offset = 0.0+-0.0052, AE = 16.0652+-2.8673, Scale Factor = 0.0496+-0.2407, Alpha = 1.4778+-4.572
# Y-offset = 0.0049+-0.0159, AE = 18.8183+-0.5533, Scale Factor = 0.1198+-0.1117, Alpha = 1.581+-0.7823
# Y-offset = 0.0+-0.0174, AE = 21.6965+-0.2306, Scale Factor = 0.3766+-0.1127, Alpha = 1.2489+-0.1986
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)	Fit 4(incl. prev.)
12.040000	0.180000	0.053628	nan	0.000000	 	 	 
12.110000	0.000000	0.000000	nan	0.008413	 	 	 
12.190000	0.000000	0.000000	nan	0.009167	 	 	 
12.260000	0.010000	0.009950	nan	0.009827	 	 	 
12.340000	0.010000	0.009950	nan	0.010581	 	 	 
12.410000	0.010000	0.009950	nan	0.011241	 	 	 
12.490000	0.000000	0.000000	nan	0.011995	 	 	 
12.560000	0.000000	0.000000	nan	0.012654	 	 	 
12.640000	0.010000	0.009950	nan	0.013408	 	 	 
12.710000	0.000000	0.000000	nan	0.014068	 	 	 
12.790000	0.010000	0.009950	nan	0.014822	 	 	 
12.860000	0.000000	0.000000	nan	0.015482	 	 	 
12.940000	0.000000	0.000000	nan	0.016236	 	 	 
13.010000	0.000000	0.000000	nan	0.016895	 	 	 
13.090000	0.010000	0.009950	0.022523	0.017649	0.017649	0.022523	0.022523
13.160000	0.000000	0.000000	0.023182	0.018309	0.018309	0.023182	0.023182
13.240000	0.000000	0.000000	0.023936	0.019063	0.019063	0.023936	0.023936
13.310000	0.010000	0.009950	0.024596	0.019723	0.019723	0.024596	0.024596
13.390000	0.010000	0.009950	0.025350	0.020476	0.020476	0.025350	0.025350
13.460000	0.000000	0.000000	0.026010	0.021136	0.021136	0.026010	0.026010
13.540000	0.000000	0.000000	0.026764	0.021890	0.021890	0.026764	0.026764
13.610000	0.000000	0.000000	0.027423	0.022550	0.022550	0.027423	0.027423
