# Energy shift = 1.07
# Y-offset = 0.0042+-0.0012, AE = 13.7643+-0.0799, Scale Factor = 0.1124+-0.0178, Alpha = 1.6025+-0.1437
# Y-offset = 0.0+-0.0202, AE = 16.2897+-0.137, Scale Factor = 0.7313+-0.0813, Alpha = 0.9629+-0.407
# Y-offset = 0.0+-0.0099, AE = 17.2758+-0.1, Scale Factor = 3.6267+-1.3694, Alpha = 0.6705+-0.5226
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
12.070000	5.848000	0.295262	0.004157	0.004157	0.004157	0.004157
12.090000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.110000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.130000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.150000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.170000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.190000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.210000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.230000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.250000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.270000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.290000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.310000	0.030300	0.005785	0.004157	0.004157	0.004157	0.004157
12.330000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.350000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.370000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.390000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.410000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.430000	0.045450	0.006531	0.004157	0.004157	0.004157	0.004157
12.450000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.470000	0.090910	0.010262	0.004157	0.004157	0.004157	0.004157
12.490000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.510000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.530000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.550000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.570000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.590000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.610000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.630000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.650000	0.060610	0.007228	0.004157	0.004157	0.004157	0.004157
12.670000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.690000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.710000	0.060610	0.007228	0.004157	0.004157	0.004157	0.004157
12.730000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.750000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.770000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.790000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.810000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.830000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.850000	0.045450	0.006531	0.004157	0.004157	0.004157	0.004157
12.870000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.890000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
12.910000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.930000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
12.950000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
12.970000	0.045450	0.005131	0.004157	0.004157	0.004157	0.004157
12.990000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
13.010000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
13.030000	0.045450	0.006531	0.004157	0.004157	0.004157	0.004157
13.050000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
13.070000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
13.090000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
13.110000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
13.130000	0.000000	0.000000	0.004157	0.004157	0.004157	0.004157
13.150000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
13.170000	0.060610	0.011571	0.004157	0.004157	0.004157	0.004157
13.190000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
13.210000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
13.230000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
13.250000	0.045450	0.006531	0.004157	0.004157	0.004157	0.004157
13.270000	0.030300	0.004140	0.004157	0.004157	0.004157	0.004157
13.290000	0.015150	0.002893	0.004157	0.004157	0.004157	0.004157
13.310000	0.030300	0.004140	0.004158	0.004158	0.004158	0.004158
13.330000	0.030530	0.004142	0.004158	0.004158	0.004158	0.004158
13.350000	0.000000	0.000000	0.004158	0.004158	0.004158	0.004158
13.370000	0.045800	0.005135	0.004159	0.004159	0.004159	0.004159
