# Energy shift = 0.0
# Y-offset = 0.0+-0.0004, AE = 12.5697+-0.0923, Scale Factor = 0.1215+-0.0206, Alpha = 1.4291+-0.2311
# Y-offset = 0.002+-0.0119, AE = 14.2686+-0.3894, Scale Factor = 0.1538+-0.0745, Alpha = 1.0778+-0.6596
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
11.000000	0.230000	0.063016	0.001993	0.000000	0.001993
11.070000	0.020000	0.019900	0.001993	0.000000	0.001993
11.150000	0.000000	0.000000	0.001993	0.000000	0.001993
11.220000	0.000000	0.000000	0.001993	0.000000	0.001993
11.300000	0.000000	0.000000	0.001993	0.000000	0.001993
11.370000	0.040000	0.019596	0.001993	0.000000	0.001993
11.450000	0.000000	0.000000	0.001993	0.000000	0.001993
11.520000	0.040000	0.031369	0.001993	0.000000	0.001993
11.600000	0.000000	0.000000	0.001993	0.000000	0.001993
11.670000	0.000000	0.000000	0.001993	0.000000	0.001993
11.750000	0.020000	0.014000	0.001993	0.000000	0.001993
11.820000	0.000000	0.000000	0.001993	0.000000	0.001993
11.900000	0.010000	0.009950	0.001993	0.000000	0.001993
11.970000	0.020000	0.014000	0.001993	0.000000	0.001993
12.050000	0.010000	0.009950	0.001993	0.000000	0.001993
12.120000	0.000000	0.000000	0.001994	0.000001	0.001994
12.200000	0.000000	0.000000	0.001999	0.000006	0.001999
12.270000	0.010000	0.009950	0.002032	0.000039	0.002032
12.350000	0.000000	0.000000	0.002222	0.000230	0.002222
12.420000	0.000000	0.000000	0.002838	0.000845	0.002838
12.500000	0.010000	0.009950	0.004865	0.002872	0.004865
12.570000	0.030000	0.017059	0.008796	0.006803	0.008796
12.650000	0.030000	0.022159	0.016855	0.014862	0.016855
12.720000	0.040000	0.019596	0.027411	0.025418	0.027411
12.800000	0.030000	0.017059	0.043203	0.041210	0.043203
12.870000	0.090000	0.037670	0.059750	0.057757	0.059750
12.950000	0.130000	0.043943	0.081182	0.079189	0.081182
13.020000	0.110000	0.042178	0.101790	0.099797	0.101790
13.100000	0.120000	0.043081	0.127191	0.125198	0.127191
13.170000	0.080000	0.030594	0.150877	0.148884	0.150877
13.250000	0.140000	0.051029	0.179478	0.177485	0.179478
13.320000	0.350000	0.071239	0.205751	0.203758	0.205751
13.400000	0.300000	0.064031	0.237114	0.235121	0.237114
13.470000	0.290000	0.069707	0.265663	0.263670	0.265663
13.550000	0.380000	0.071805	0.299488	0.297495	0.299488
