# Energy shift = 1.0
# Y-offset = 0.0001+-0.0005, AE = 15.0242+-0.2331, Scale Factor = 0.0192+-0.006, Alpha = 1.0101+-0.6955
# Y-offset = 0.0044+-0.0056, AE = 16.5408+-0.4138, Scale Factor = 0.0689+-0.0347, Alpha = 1.0551+-0.8098
# Y-offset = 0.0+-0.0011, AE = 18.4471+-0.3906, Scale Factor = 0.0983+-0.0646, Alpha = 1.8368+-0.3877
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
12.000000	0.180000	0.053628	nan	 	 	 
12.070000	0.000000	0.000000	nan	 	 	 
12.150000	0.000000	0.000000	nan	 	 	 
12.220000	0.010000	0.009950	nan	 	 	 
12.300000	0.010000	0.009950	nan	 	 	 
12.370000	0.010000	0.009950	nan	 	 	 
12.450000	0.000000	0.000000	nan	 	 	 
12.520000	0.000000	0.000000	nan	 	 	 
12.600000	0.010000	0.009950	nan	 	 	 
12.670000	0.000000	0.000000	nan	 	 	 
12.750000	0.010000	0.009950	nan	 	 	 
12.820000	0.000000	0.000000	nan	 	 	 
12.900000	0.000000	0.000000	nan	 	 	 
12.970000	0.000000	0.000000	nan	 	 	 
13.050000	0.010000	0.009950	0.004433	0.000081	0.004433	0.004433
13.120000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.200000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.270000	0.010000	0.009950	0.004433	0.000081	0.004433	0.004433
13.350000	0.010000	0.009950	0.004433	0.000081	0.004433	0.004433
13.420000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.500000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.570000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.650000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.720000	0.010000	0.009950	0.004433	0.000081	0.004433	0.004433
13.800000	0.040000	0.028000	0.004433	0.000081	0.004433	0.004433
13.870000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
13.950000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
14.020000	0.020000	0.014000	0.004433	0.000081	0.004433	0.004433
14.100000	0.000000	0.000000	0.004433	0.000081	0.004433	0.004433
14.170000	0.020000	0.014000	0.004433	0.000081	0.004433	0.004433
14.250000	0.030000	0.017059	0.004433	0.000081	0.004433	0.004433
14.320000	0.020000	0.014000	0.004433	0.000081	0.004433	0.004433
14.400000	0.020000	0.014000	0.004433	0.000081	0.004433	0.004433
14.470000	0.010000	0.009950	0.004433	0.000081	0.004433	0.004433
14.550000	0.030000	0.022159	0.004433	0.000081	0.004433	0.004433
14.620000	0.000000	0.000000	0.004434	0.000082	0.004434	0.004434
14.700000	0.020000	0.014000	0.004443	0.000091	0.004443	0.004443
14.770000	0.030000	0.017059	0.004484	0.000132	0.004484	0.004484
14.850000	0.030000	0.017059	0.004668	0.000316	0.004668	0.004668
14.920000	0.000000	0.000000	0.005130	0.000778	0.005130	0.005130
15.000000	0.040000	0.024166	0.006299	0.001948	0.006299	0.006299
15.070000	0.030000	0.022159	0.008065	0.003713	0.008065	0.008065
15.150000	0.030000	0.022159	0.010898	0.006546	0.010898	0.010898
15.220000	0.020000	0.014000	0.013877	0.009526	0.013877	0.013877
15.300000	0.040000	0.024166	0.017570	0.013218	0.017570	0.017570
15.370000	0.010000	0.009950	0.020898	0.016547	0.020898	0.020898
15.450000	0.050000	0.021794	0.024738	0.020386	0.024738	0.024738
15.520000	0.030000	0.017059	0.028108	0.023756	0.028108	0.028108
15.600000	0.050000	0.029580	0.031967	0.027615	0.031967	0.031967
15.670000	0.090000	0.042650	0.035348	0.030996	0.035348	0.035348
15.750000	0.080000	0.033705	0.039217	0.034865	0.039217	0.039217
15.820000	0.070000	0.038092	0.042606	0.038254	0.042606	0.042606
15.900000	0.010000	0.009950	0.046483	0.042131	0.046483	0.046483
15.970000	0.140000	0.042474	0.049878	0.045526	0.049878	0.049878
16.050000	0.030000	0.022159	0.053762	0.049410	0.053762	0.053762
16.120000	0.070000	0.032419	0.057165	0.052811	0.057165	0.057165
16.200000	0.130000	0.041605	0.061073	0.056700	0.061073	0.061073
16.270000	0.090000	0.031922	0.064571	0.060105	0.064571	0.064571
16.350000	0.090000	0.034914	0.068916	0.063999	0.068916	0.068916
16.420000	0.120000	0.038158	0.073539	0.067408	0.073539	0.073539
16.500000	0.060000	0.023749	0.080736	0.071307	0.080736	0.080736
16.570000	0.100000	0.033166	0.089457	0.074720	0.089457	0.089457
16.650000	0.100000	0.038730	0.102377	0.078622	0.102377	0.102377
16.720000	0.170000	0.058404	0.115721	0.082039	0.115721	0.115721
16.800000	0.130000	0.039128	0.132348	0.085945	0.132348	0.132348
16.870000	0.130000	0.050309	0.147495	0.089364	0.147495	0.147495
16.950000	0.160000	0.061188	0.165123	0.093273	0.165123	0.165123
17.020000	0.130000	0.041605	0.180711	0.096695	0.180711	0.180711
17.100000	0.340000	0.081511	0.198662	0.100608	0.198662	0.198662
17.170000	0.230000	0.063016	0.214467	0.104032	0.214467	0.214467
17.250000	0.260000	0.070171	0.232630	0.107947	0.232630	0.232630
17.320000	0.250000	0.057228	0.248599	0.111374	0.248599	0.248599
17.400000	0.280000	0.090642	0.266928	0.115292	0.266928	0.266928
17.470000	0.200000	0.044721	0.283031	0.118721	0.283031	0.283031
17.550000	0.520000	0.091082	0.301500	0.122642	0.301500	0.301500
17.620000	0.420000	0.077692	0.317715	0.126073	0.317715	0.317715
17.700000	0.450000	0.095263	0.336304	0.129995	0.336304	0.336304
17.770000	0.340000	0.065146	0.352617	0.133429	0.352617	0.352617
17.850000	0.290000	0.062121	0.371312	0.137354	0.371312	0.371312
17.920000	0.420000	0.082680	0.387712	0.140789	0.387712	0.387712
18.000000	0.400000	0.081240	0.406501	0.144716	0.406501	0.406501
18.070000	0.380000	0.077175	0.422980	0.148152	0.422979	0.422980
18.150000	0.490000	0.133038	0.441865	0.152081	0.441853	0.441865
18.220000	0.510000	0.084256	0.458464	0.155520	0.458402	0.458464
18.300000	0.530000	0.099454	0.477651	0.159451	0.477354	0.477651
18.370000	0.450000	0.093140	0.494902	0.162891	0.493968	0.494902
18.450000	0.520000	0.086579	0.515731	0.166823	0.512991	0.515731
18.520000	0.440000	0.076577	0.535546	0.170265	0.529666	0.535546
18.600000	0.520000	0.083042	0.560651	0.174200	0.548756	0.560651
18.670000	0.590000	0.103049	0.585071	0.177643	0.565486	0.585071
18.750000	0.810000	0.127824	0.615868	0.181579	0.584638	0.615868
18.820000	0.580000	0.089644	0.645288	0.185023	0.601421	0.645288
18.900000	0.560000	0.088679	0.681639	0.188961	0.620630	0.681639
18.970000	0.960000	0.139943	0.715755	0.192407	0.637462	0.715755
19.050000	0.760000	0.150413	0.757312	0.196346	0.656726	0.757312
19.120000	0.890000	0.136305	0.795869	0.199793	0.673605	0.795869
19.200000	0.820000	0.108977	0.842389	0.203734	0.692920	0.842389
19.270000	1.010000	0.128448	0.885205	0.207182	0.709842	0.885205
19.350000	0.930000	0.133608	0.936512	0.211124	0.729206	0.936512
19.420000	1.110000	0.171985	0.983452	0.214574	0.746170	0.983452
19.500000	1.000000	0.124097	1.039405	0.218517	0.765581	1.039405
19.570000	1.050000	0.140268	1.090359	0.221968	0.782584	1.090359
19.650000	0.930000	0.132857	1.150844	0.225913	0.802039	1.150844
19.720000	1.230000	0.150901	1.205719	0.229365	0.819080	1.205719
19.800000	1.180000	0.166361	1.270640	0.233311	0.838577	1.270640
19.870000	1.380000	0.169576	1.329357	0.236764	0.855654	1.329357
19.950000	1.440000	0.164511	1.398628	0.240711	0.875191	1.398628
20.020000	1.850000	0.213717	1.461119	0.244166	0.892304	1.461119
20.100000	1.640000	0.201256	1.534667	0.248114	0.911879	1.534667
20.170000	1.690000	0.172450	1.600870	0.251570	0.929025	1.600870
20.250000	1.640000	0.175795	1.678629	0.255519	0.948638	1.678629
20.320000	1.910000	0.202531	1.748490	0.258975	0.965815	1.748490
20.400000	1.640000	0.175226	1.830400	0.262926	0.985464	1.830400
20.470000	2.130000	0.205745	1.903870	0.266383	1.002672	1.903870
20.550000	1.750000	0.189407	1.989878	0.270335	1.022355	1.989878
20.620000	2.050000	0.198683	2.066911	0.273794	1.039593	2.066911
20.700000	2.610000	0.270516	2.156966	0.277746	1.059309	2.156966
20.770000	2.210000	0.242609	2.237521	0.281206	1.076575	2.237521
20.850000	2.080000	0.236085	2.331579	0.285160	1.096324	2.331579
20.920000	2.280000	0.271691	2.415617	0.288620	1.113618	2.415617
21.000000	2.740000	0.312608	2.513636	0.292575	1.133398	2.513636
21.070000	2.430000	0.261631	2.601122	0.296036	1.150719	2.601122
21.150000	2.760000	0.234572	2.703062	0.299992	1.170529	2.703062
21.220000	2.800000	0.260000	2.793963	0.303453	1.187876	2.793963
21.300000	2.400000	0.251794	2.899787	0.307410	1.207715	2.899787
21.370000	2.970000	0.253557	2.994072	0.310873	1.225087	2.994072
21.450000	3.150000	0.284385	3.103747	0.314831	1.244955	3.103747
21.520000	3.490000	0.291717	3.201386	0.318294	1.262351	3.201386
21.600000	3.340000	0.241338	3.314878	0.322253	1.282246	3.314878
21.670000	3.330000	0.314978	3.415845	0.325718	1.299667	3.415845
21.750000	3.480000	0.306751	3.533125	0.329677	1.319589	3.533125
21.820000	3.730000	0.340545	3.637393	0.333143	1.337032	3.637393
21.900000	4.170000	0.354698	3.758431	0.337103	1.356981	3.758431
21.970000	3.960000	0.379452	3.865975	0.340569	1.374446	3.865975
22.050000	3.810000	0.325790	3.990745	0.344531	1.394420	3.990745
22.120000	4.190000	0.422775	4.101542	0.347997	1.411908	4.101542
