# Energy shift = 0.78
# a_1: -10.1642 +- 0.0056, a_0: 0.5 +- 1.4, domain: [20.790000000000003eV ,21.37eV]
# Y-offset = 0.0+-0.015, AE = 21.5594+-0.0015, Scale Factor = 142.9006+-0.3251, Alpha = 1.1292+-0.006
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
20.780000	2.247000	2.466946	nan	0.000000	 
20.790000	0.680000	1.401523	0.666978	0.666939	0.666978
20.800000	0.680000	1.271849	0.672188	0.672149	0.672188
20.810000	0.780000	1.484902	0.677398	0.677359	0.677398
20.820000	0.733300	1.477235	0.682608	0.682569	0.682608
20.830000	0.886700	1.566468	0.687817	0.687778	0.687817
20.840000	0.746700	1.347524	0.693027	0.692988	0.693027
20.850000	0.833300	1.509599	0.698237	0.698198	0.698237
20.860000	0.733300	1.459071	0.703447	0.703408	0.703447
20.870000	0.786700	1.538773	0.708656	0.708618	0.708656
20.880000	0.813300	1.634571	0.713866	0.713827	0.713866
20.890000	0.593300	1.214340	0.719076	0.719037	0.719076
20.900000	0.766700	1.628564	0.724286	0.724247	0.724286
20.910000	0.660000	1.348233	0.729496	0.729457	0.729496
20.920000	0.613300	1.263786	0.734705	0.734667	0.734705
20.930000	0.740000	1.582951	0.739915	0.739876	0.739915
20.940000	0.686700	1.374223	0.745125	0.745086	0.745125
20.950000	0.786700	1.393254	0.750335	0.750296	0.750335
20.960000	0.833300	1.527161	0.755545	0.755506	0.755545
20.970000	0.586700	1.317506	0.760754	0.760715	0.760754
20.980000	0.673300	1.437575	0.765964	0.765925	0.765964
20.990000	0.873300	1.556906	0.771174	0.771135	0.771174
21.000000	0.873300	1.656489	0.776384	0.776345	0.776384
21.010000	0.680000	1.382365	0.781593	0.781555	0.781593
21.020000	0.906700	1.790146	0.786803	0.786764	0.786803
21.030000	0.786700	1.809555	0.792013	0.791974	0.792013
21.040000	0.766700	1.700653	0.797223	0.797184	0.797223
21.050000	0.946700	1.668479	0.802433	0.802394	0.802433
21.060000	0.800000	1.566312	0.807642	0.807604	0.807642
21.070000	0.973300	1.829195	0.812852	0.812813	0.812852
21.080000	0.846700	1.580028	0.818062	0.818023	0.818062
21.090000	0.866700	1.623439	0.823272	0.823233	0.823272
21.100000	0.553300	1.243847	0.828482	0.828443	0.828482
21.110000	0.786700	1.521344	0.833692	0.833652	0.833692
21.120000	0.846700	1.638034	0.838901	0.838862	0.838901
21.130000	0.706700	1.435487	0.844112	0.844072	0.844112
21.140000	0.780000	1.529139	0.849322	0.849282	0.849322
21.150000	0.760000	1.445360	0.854533	0.854492	0.854533
21.160000	0.800000	1.600000	0.859745	0.859701	0.859745
21.170000	0.960000	1.716120	0.864959	0.864911	0.864959
21.180000	0.766700	1.455640	0.870175	0.870121	0.870175
21.190000	1.080000	1.885099	0.875397	0.875331	0.875397
21.200000	0.853300	1.622289	0.880627	0.880541	0.880627
21.210000	0.746700	1.541370	0.885872	0.885750	0.885872
21.220000	0.793300	1.477821	0.891140	0.890960	0.891140
21.230000	0.873300	1.599153	0.896445	0.896170	0.896445
21.240000	0.846700	1.580028	0.901810	0.901380	0.901810
21.250000	0.726700	1.448662	0.907269	0.906589	0.907269
21.260000	1.027000	1.747176	0.912874	0.911799	0.912874
21.270000	0.900000	1.674316	0.918703	0.917009	0.918703
21.280000	1.160000	1.851414	0.924868	0.922219	0.924868
21.290000	0.966700	1.676968	0.931534	0.927429	0.931534
21.300000	1.000000	1.754993	0.938935	0.932638	0.938935
21.310000	0.886700	1.766491	0.947401	0.937848	0.947401
21.320000	0.933300	1.594435	0.957388	0.943058	0.957388
21.330000	1.007000	1.754980	0.969517	0.948268	0.969517
21.340000	1.113000	1.946062	0.984622	0.953478	0.984622
21.350000	1.087000	1.790481	1.003809	0.958687	1.003809
21.360000	1.193000	1.905069	1.028514	0.963897	1.028514
21.370000	1.280000	2.175990	1.060581	0.969107	1.060581
21.380000	1.367000	1.996386	1.102333	0.974317	1.102333
21.390000	1.167000	1.921516	1.156661	0.979526	1.156661
21.400000	1.287000	2.081143	1.227091	0.984736	1.227091
21.410000	1.593000	2.180510	1.317865	0.989946	1.317865
21.420000	1.740000	2.220901	1.433995	0.995156	1.433995
21.430000	1.833000	2.329282	1.581305	1.000366	1.581305
21.440000	1.760000	2.302694	1.766440	1.005575	1.766440
21.450000	1.967000	2.271319	1.996851	1.010785	1.996851
21.460000	2.200000	2.452210	2.280732	1.015995	2.280732
21.470000	2.767000	2.759026	2.626922	1.021205	2.626922
21.480000	3.320000	3.240000	3.044758	1.026415	3.044758
21.490000	3.393000	3.256576	3.543888	1.031624	3.543888
21.500000	3.833000	3.407671	4.134048	1.036834	4.134048
21.510000	4.653000	3.905529	4.824806	1.042044	4.824806
21.520000	5.100000	3.868247	5.625288	1.047254	5.625288
21.530000	5.667000	4.229526	6.543903	1.052463	6.543903
21.540000	6.873000	4.857704	7.588071	1.057673	7.588071
21.550000	7.260000	4.830362	8.763983	1.062883	8.763983
21.560000	9.133000	5.457309	10.076391	1.068093	10.076391
21.570000	10.770000	6.396788	11.528465	1.073303	11.528465
21.580000	12.280000	6.412613	13.121694	1.078512	13.121694
21.590000	14.120000	6.905959	14.855861	1.083722	14.855861
21.600000	17.050000	7.739757	16.729092	1.088932	16.729092
21.610000	18.810000	8.783612	18.737951	1.094142	18.737951
21.620000	21.570000	8.862165	20.877611	1.099352	20.877611
21.630000	23.490000	9.393074	23.142052	1.104561	23.142052
21.640000	26.790000	10.299383	25.524301	1.109771	25.524301
21.650000	30.320000	10.869112	28.016687	1.114981	28.016687
21.660000	32.750000	11.920955	30.611095	1.120191	30.611095
21.670000	34.730000	12.010772	33.299216	1.125400	33.299216
21.680000	37.260000	12.108361	36.072768	1.130610	36.072768
21.690000	41.920000	13.244128	38.923692	1.135820	38.923692
21.700000	42.650000	13.677226	41.844310	1.141030	41.844310
21.710000	47.710000	14.716357	44.827448	1.146240	44.827448
21.720000	49.330000	14.656510	47.866516	1.151449	47.866516
21.730000	52.960000	15.854707	50.955555	1.156659	50.955555
21.740000	55.890000	16.359767	54.089255	1.161869	54.089255
21.750000	58.380000	16.174123	57.262943	1.167079	57.262943
21.760000	59.810000	17.158165	60.472554	1.172288	60.472554
21.770000	65.370000	17.412990	63.714585	1.177498	63.714585
21.780000	68.760000	18.622094	66.986040	1.182708	66.986040
21.790000	71.870000	19.454493	70.284374	1.187918	70.284374
21.800000	74.990000	19.206592	73.607432	1.193128	73.607432
21.810000	77.830000	20.199973	76.953393	1.198337	76.953393
21.820000	80.590000	20.782745	80.320718	1.203547	80.320718
21.830000	85.330000	22.127810	83.708101	1.208757	83.708101
21.840000	86.360000	22.231593	87.114427	1.213967	87.114427
21.850000	89.850000	23.316486	90.538742	1.219177	90.538742
21.860000	92.060000	23.884369	93.980218	1.224386	93.980218
21.870000	98.090000	24.246082	97.438132	1.229596	97.438132
21.880000	101.100000	24.345746	100.911843	1.234806	100.911843
21.890000	104.700000	24.921972	104.400783	1.240016	104.400783
21.900000	110.500000	26.817097	107.904437	1.245225	107.904437
21.910000	110.200000	26.754040	111.422338	1.250435	111.422338
21.920000	114.100000	27.830355	114.954057	1.255645	114.954057
21.930000	117.800000	28.162434	118.499200	1.260855	118.499200
21.940000	121.000000	28.497719	122.057398	1.266065	122.057398
21.950000	124.100000	29.636723	125.628311	1.271274	125.628311
21.960000	125.900000	29.457710	129.211615	1.276484	129.211615
21.970000	132.200000	30.878040	132.807010	1.281694	132.807010
21.980000	135.200000	30.580342	136.414210	1.286904	136.414210
21.990000	138.100000	32.557058	140.032944	1.292114	140.032944
22.000000	143.300000	32.537783	143.662958	1.297323	143.662958
22.010000	144.000000	32.450989	147.304007	1.302533	147.304007
22.020000	151.600000	33.406427	150.955861	1.307743	150.955861
22.030000	152.500000	33.687634	154.618298	1.312953	154.618298
22.040000	157.000000	35.956826	158.291108	1.318162	158.291108
22.050000	159.300000	35.033194	161.974089	1.323372	161.974089
22.060000	163.100000	36.696040	165.667048	1.328582	165.667048
22.070000	166.400000	37.550038	169.369801	1.333792	169.369801
22.080000	171.800000	37.449522	173.082168	1.339002	173.082168
22.090000	173.900000	37.627463	176.803981	1.344211	176.803981
22.100000	179.200000	38.677642	180.535075	1.349421	180.535075
22.110000	182.100000	40.991715	184.275293	1.354631	184.275293
22.120000	187.300000	38.694401	188.024482	1.359841	188.024482
22.130000	189.600000	40.698698	191.782496	1.365051	191.782496
22.140000	191.100000	41.004544	195.549195	1.370260	195.549195
22.150000	196.300000	42.177300	199.324441	1.375470	199.324441
22.160000	202.500000	45.348392	203.108104	1.380680	203.108104
22.170000	205.800000	43.023064	206.900055	1.385890	206.900055
22.180000	205.600000	42.855198	210.700171	1.391099	210.700171
22.190000	210.000000	45.185101	214.508335	1.396309	214.508335
22.200000	217.000000	44.916367	218.324429	1.401519	218.324429
22.210000	218.900000	45.248492	222.148342	1.406729	222.148342
22.220000	224.600000	47.715798	225.979966	1.411939	225.979966
22.230000	228.600000	48.102807	229.819196	1.417148	229.819196
22.240000	231.900000	47.357893	233.665929	1.422358	233.665929
22.250000	233.400000	48.020857	237.520067	1.427568	237.520067
22.260000	239.700000	48.008062	241.381512	1.432778	241.381512
22.270000	243.400000	50.927949	245.250171	1.437988	245.250171
22.280000	248.500000	51.722174	249.125954	1.443197	249.125954
22.290000	251.400000	51.772245	253.008772	1.448407	253.008772
22.300000	256.600000	52.777798	256.898538	1.453617	256.898538
22.310000	258.700000	52.360322	260.795168	1.458827	260.795168
22.320000	268.100000	54.760393	264.698581	1.464036	264.698581
22.330000	268.800000	54.560474	268.608697	1.469246	268.608697
22.340000	274.100000	57.129881	272.525439	1.474456	272.525439
22.350000	278.700000	55.513656	276.448730	1.479666	276.448730
22.360000	278.000000	57.006666	280.378498	1.484876	280.378498
22.370000	282.500000	57.425575	284.314669	1.490085	284.314669
22.380000	287.600000	58.544206	288.257173	1.495295	288.257173
22.390000	290.700000	58.161413	292.205942	1.500505	292.205942
22.400000	294.200000	59.118480	296.160909	1.505715	296.160909
22.410000	301.200000	58.469821	300.122008	1.510925	300.122008
22.420000	306.700000	62.326233	304.089174	1.516134	304.089174
22.430000	307.100000	61.946628	308.062347	1.521344	308.062347
22.440000	310.700000	61.693333	312.041463	1.526554	312.041463
22.450000	314.600000	62.655098	316.026463	1.531764	316.026463
22.460000	318.200000	63.357715	320.017290	1.536973	320.017290
22.470000	324.200000	62.882006	324.013884	1.542183	324.013884
22.480000	327.300000	65.100645	328.016191	1.547393	328.016191
22.490000	333.100000	67.255111	332.024154	1.552603	332.024154
22.500000	336.100000	65.789346	336.037722	1.557813	336.037722
22.510000	341.000000	66.517466	340.056839	1.563022	340.056839
22.520000	345.600000	68.990569	344.081456	1.568232	344.081456
22.530000	344.800000	66.817004	348.111521	1.573442	348.111521
22.540000	354.200000	70.425052	352.146984	1.578652	352.146984
22.550000	357.100000	69.625661	356.187798	1.583862	356.187798
22.560000	360.900000	70.861550	360.233913	1.589071	360.233913
22.570000	366.700000	71.849022	364.285284	1.594281	364.285284
22.580000	370.200000	72.447480	368.341865	1.599491	368.341865
22.590000	375.500000	75.500795	372.403609	1.604701	372.403609
22.600000	379.400000	74.270945	376.470474	1.609910	376.470474
22.610000	382.100000	74.557231	380.542416	1.615120	380.542416
22.620000	386.100000	76.080462	384.619392	1.620330	384.619392
22.630000	387.200000	77.731161	388.701360	1.625540	388.701360
22.640000	395.400000	77.347752	392.788279	1.630750	392.788279
22.650000	398.000000	78.749730	396.880109	1.635959	396.880109
22.660000	406.000000	78.315175	400.976810	1.641169	400.976810
22.670000	407.800000	78.934285	405.078342	1.646379	405.078342
22.680000	414.600000	81.090715	409.184669	1.651589	409.184669
22.690000	418.000000	82.245648	413.295751	1.656799	413.295751
22.700000	420.300000	81.109593	417.411552	1.662008	417.411552
22.710000	428.600000	84.352167	421.532036	1.667218	421.532036
22.720000	427.900000	83.265379	425.657167	1.672428	425.657167
22.730000	434.300000	83.369087	429.786908	1.677638	429.786908
22.740000	438.000000	87.131012	433.921227	1.682847	433.921227
22.750000	439.400000	85.260995	438.060088	1.688057	438.060088
22.760000	449.600000	87.697647	442.203458	1.693267	442.203458
22.770000	452.800000	87.597169	446.351305	1.698477	446.351305
22.780000	456.700000	88.751515	450.503594	1.703687	450.503594
