# Energy shift = 0.78
# Y-offset = 0.0032+-0.0012, AE = 8.1541+-0.0116, Scale Factor = 5.7056+-0.1101, Alpha = 1.7068+-0.0426
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1
7.280000	0.090000	0.641794	0.003194	0.003194
7.290000	0.000000	0.000000	0.003194	0.003194
7.300000	0.000000	0.000000	0.003194	0.003194
7.310000	0.010000	0.141067	0.003194	0.003194
7.320000	0.010000	0.141067	0.003194	0.003194
7.330000	0.000000	0.000000	0.003194	0.003194
7.340000	0.000000	0.000000	0.003194	0.003194
7.350000	0.000000	0.000000	0.003194	0.003194
7.360000	0.010000	0.141067	0.003194	0.003194
7.370000	0.000000	0.000000	0.003194	0.003194
7.380000	0.010000	0.141067	0.003194	0.003194
7.390000	0.010000	0.141067	0.003194	0.003194
7.400000	0.000000	0.000000	0.003194	0.003194
7.410000	0.000000	0.000000	0.003194	0.003194
7.420000	0.010000	0.141067	0.003194	0.003194
7.430000	0.000000	0.000000	0.003194	0.003194
7.440000	0.000000	0.000000	0.003194	0.003194
7.450000	0.010000	0.141067	0.003194	0.003194
7.460000	0.010000	0.141067	0.003194	0.003194
7.470000	0.000000	0.000000	0.003194	0.003194
7.480000	0.000000	0.000000	0.003194	0.003194
7.490000	0.000000	0.000000	0.003194	0.003194
7.500000	0.000000	0.000000	0.003194	0.003194
7.510000	0.000000	0.000000	0.003194	0.003194
7.520000	0.000000	0.000000	0.003194	0.003194
7.530000	0.010000	0.141067	0.003194	0.003194
7.540000	0.010000	0.141067	0.003194	0.003194
7.550000	0.000000	0.000000	0.003194	0.003194
7.560000	0.010000	0.141067	0.003194	0.003194
7.570000	0.000000	0.000000	0.003194	0.003194
7.580000	0.000000	0.000000	0.003194	0.003194
7.590000	0.000000	0.000000	0.003194	0.003194
7.600000	0.000000	0.000000	0.003194	0.003194
7.610000	0.000000	0.000000	0.003194	0.003194
7.620000	0.000000	0.000000	0.003194	0.003194
7.630000	0.000000	0.000000	0.003194	0.003194
7.640000	0.000000	0.000000	0.003194	0.003194
7.650000	0.000000	0.000000	0.003194	0.003194
7.660000	0.010000	0.141067	0.003194	0.003194
7.670000	0.000000	0.000000	0.003194	0.003194
7.680000	0.000000	0.000000	0.003194	0.003194
7.690000	0.000000	0.000000	0.003194	0.003194
7.700000	0.000000	0.000000	0.003194	0.003194
7.710000	0.020000	0.198997	0.003194	0.003194
7.720000	0.000000	0.000000	0.003194	0.003194
7.730000	0.010000	0.141067	0.003194	0.003194
7.740000	0.000000	0.000000	0.003194	0.003194
7.750000	0.010000	0.141067	0.003194	0.003194
7.760000	0.000000	0.000000	0.003195	0.003195
7.770000	0.000000	0.000000	0.003195	0.003195
7.780000	0.000000	0.000000	0.003195	0.003195
7.790000	0.010000	0.141067	0.003195	0.003195
7.800000	0.010000	0.141067	0.003195	0.003195
7.810000	0.000000	0.000000	0.003195	0.003195
7.820000	0.030000	0.243105	0.003196	0.003196
7.830000	0.000000	0.000000	0.003196	0.003196
7.840000	0.000000	0.000000	0.003198	0.003198
7.850000	0.000000	0.000000	0.003200	0.003200
7.860000	0.000000	0.000000	0.003203	0.003203
7.870000	0.010000	0.141067	0.003208	0.003208
7.880000	0.000000	0.000000	0.003216	0.003216
7.890000	0.000000	0.000000	0.003228	0.003228
7.900000	0.010000	0.141067	0.003246	0.003246
7.910000	0.010000	0.141067	0.003273	0.003273
7.920000	0.000000	0.000000	0.003314	0.003314
7.930000	0.020000	0.198997	0.003373	0.003373
7.940000	0.030000	0.243105	0.003460	0.003460
7.950000	0.020000	0.198997	0.003583	0.003583
7.960000	0.010000	0.141067	0.003757	0.003757
7.970000	0.000000	0.000000	0.004000	0.004000
7.980000	0.040000	0.280000	0.004336	0.004336
7.990000	0.030000	0.243105	0.004793	0.004793
8.000000	0.040000	0.344093	0.005410	0.005410
8.010000	0.070000	0.505074	0.006231	0.006231
8.020000	0.090000	0.540278	0.007314	0.007314
8.030000	0.110000	0.572626	0.008724	0.008724
8.040000	0.040000	0.280000	0.010542	0.010542
8.050000	0.050000	0.370810	0.012859	0.012859
8.060000	0.130000	0.634902	0.015782	0.015782
8.070000	0.040000	0.280000	0.019429	0.019429
8.080000	0.110000	0.536563	0.023934	0.023934
8.090000	0.080000	0.483322	0.029442	0.029442
8.100000	0.140000	0.648383	0.036110	0.036110
8.110000	0.160000	0.757892	0.044106	0.044106
8.120000	0.120000	0.552811	0.053604	0.053604
8.130000	0.150000	0.630476	0.064781	0.064781
8.140000	0.130000	0.602578	0.077820	0.077820
8.150000	0.280000	0.872697	0.092898	0.092898
8.160000	0.160000	0.643739	0.110189	0.110189
8.170000	0.310000	1.001948	0.129861	0.129861
8.180000	0.290000	0.967419	0.152068	0.152068
8.190000	0.190000	0.737496	0.176951	0.176951
8.200000	0.200000	0.824621	0.204638	0.204638
8.210000	0.300000	0.932738	0.235236	0.235236
8.220000	0.400000	1.039230	0.268836	0.268836
8.230000	0.420000	1.106165	0.305512	0.305512
8.240000	0.500000	1.195826	0.345317	0.345317
8.250000	0.170000	0.686367	0.388287	0.388287
8.260000	0.530000	1.139781	0.434444	0.434444
8.270000	0.500000	1.244990	0.483794	0.483794
8.280000	0.550000	1.247998	0.536329	0.536329
8.290000	0.720000	1.470238	0.592032	0.592032
8.300000	0.710000	1.521808	0.650876	0.650876
8.310000	0.640000	1.480000	0.712828	0.712828
8.320000	0.840000	1.553834	0.777848	0.777848
8.330000	0.760000	1.477295	0.845894	0.845894
8.340000	0.790000	1.560737	0.916921	0.916921
8.350000	0.860000	1.703056	0.990884	0.990884
8.360000	0.910000	1.597467	1.067736	1.067736
8.370000	0.820000	1.430944	1.147432	1.147432
8.380000	1.230000	2.026598	1.229928	1.229928
8.390000	1.190000	1.698205	1.315182	1.315182
8.400000	1.390000	2.109005	1.403153	1.403153
8.410000	1.150000	1.713914	1.493801	1.493801
8.420000	1.520000	2.291201	1.587092	1.587092
8.430000	1.390000	2.061043	1.682988	1.682988
8.440000	1.630000	2.245685	1.781459	1.781459
8.450000	1.680000	1.984339	1.882472	1.882472
8.460000	1.970000	2.362012	1.985997	1.985997
8.470000	2.070000	2.203429	2.092008	2.092008
8.480000	1.970000	2.509801	2.200477	2.200477
8.490000	2.350000	2.517439	2.311380	2.311380
8.500000	2.410000	2.586871	2.424692	2.424692
8.510000	2.090000	2.317736	2.540390	2.540390
8.520000	2.840000	3.120000	2.658453	2.658453
8.530000	2.810000	2.713651	2.778860	2.778860
8.540000	2.480000	2.765791	2.901590	2.901590
8.550000	2.920000	2.883331	3.026625	3.026625
8.560000	3.230000	3.011163	3.153945	3.153945
8.570000	3.280000	2.877777	3.283533	3.283533
8.580000	3.310000	3.385838	3.415372	3.415372
8.590000	3.500000	3.290897	3.549446	3.549446
8.600000	4.030000	3.652273	3.685737	3.685737
8.610000	3.910000	3.324440	3.824231	3.824231
8.620000	3.740000	3.176854	3.964912	3.964912
8.630000	3.700000	3.479943	4.107766	4.107766
8.640000	4.440000	3.611980	4.252779	4.252779
8.650000	4.650000	3.632836	4.399937	4.399937
8.660000	3.930000	3.276446	4.549227	4.549227
8.670000	4.680000	3.717203	4.700636	4.700636
8.680000	5.780000	4.048654	4.854151	4.854151
8.690000	4.920000	3.730094	5.009759	5.009759
8.700000	5.420000	3.707236	5.167450	5.167450
8.710000	5.370000	3.739398	5.327211	5.327211
8.720000	6.080000	3.943805	5.489030	5.489030
8.730000	5.870000	4.094276	5.652898	5.652898
8.740000	6.010000	4.492204	5.818802	5.818802
8.750000	6.410000	4.776180	5.986733	5.986733
8.760000	6.330000	4.255714	6.156680	6.156680
8.770000	6.510000	4.454200	6.328633	6.328633
8.780000	5.920000	4.270082	6.502583	6.502583
8.790000	6.990000	4.919339	6.678518	6.678518
8.800000	7.320000	4.527428	6.856431	6.856431
8.810000	7.310000	4.806652	7.036312	7.036312
8.820000	7.250000	4.342522	7.218151	7.218151
8.830000	7.880000	4.684613	7.401940	7.401940
8.840000	7.920000	4.633962	7.587671	7.587671
8.850000	8.410000	5.371396	7.775334	7.775334
8.860000	8.340000	4.359404	7.964921	7.964921
8.870000	9.010000	5.007984	8.156425	8.156425
8.880000	8.780000	5.117773	8.349837	8.349837
8.890000	8.570000	5.274002	8.545149	8.545149
8.900000	9.000000	4.987986	8.742353	8.742353
8.910000	9.490000	5.614259	8.941442	8.941442
8.920000	9.950000	5.409020	9.142409	9.142409
8.930000	9.510000	4.937601	9.345245	9.345245
8.940000	10.310000	5.142363	9.549945	9.549945
8.950000	10.000000	5.114685	9.756500	9.756500
8.960000	9.720000	5.230832	9.964903	9.964903
8.970000	10.410000	5.334032	10.175149	10.175149
8.980000	10.160000	5.594140	10.387230	10.387230
8.990000	11.090000	5.850803	10.601139	10.601139
9.000000	10.860000	5.190414	10.816871	10.816871
9.010000	10.560000	5.557553	11.034417	11.034417
9.020000	11.890000	5.536055	11.253773	11.253773
9.030000	11.980000	5.793065	11.474932	11.474932
9.040000	11.550000	5.839306	11.697888	11.697888
9.050000	12.070000	5.654653	11.922635	11.922635
9.060000	12.850000	5.619386	12.149166	12.149166
9.070000	11.630000	6.258043	12.377477	12.377477
9.080000	12.400000	5.820653	12.607560	12.607560
9.090000	13.350000	6.884584	12.839411	12.839411
9.100000	12.800000	5.621388	13.073024	13.073024
9.110000	13.180000	6.255206	13.308393	13.308393
9.120000	13.880000	6.240641	13.545513	13.545513
9.130000	14.150000	6.402929	13.784379	13.784379
9.140000	14.670000	5.849026	14.024984	14.024984
9.150000	14.190000	6.078149	14.267325	14.267325
9.160000	13.540000	6.608207	14.511395	14.511395
9.170000	14.060000	6.611838	14.757190	14.757190
9.180000	14.560000	6.387989	15.004704	15.004704
9.190000	14.300000	6.183041	15.253933	15.253933
9.200000	15.800000	6.939741	15.504872	15.504872
9.210000	15.770000	6.539656	15.757516	15.757516
9.220000	15.210000	6.520422	16.011859	16.011859
9.230000	15.170000	6.223432	16.267898	16.267898
9.240000	16.160000	6.401125	16.525627	16.525627
9.250000	16.410000	6.888534	16.785043	16.785043
9.260000	16.460000	6.863556	17.046140	17.046140
9.270000	16.940000	7.515078	17.308914	17.308914
9.280000	17.640000	7.591469	17.573360	17.573360
