# Energy shift = 0.79
# a_1: -19.8985 +- 0.0061, a_0: 1.0 +- 1.4, domain: [20.79eV ,21.49eV]
# Y-offset = 0.0+-0.0205, AE = 21.5601+-0.0021, Scale Factor = 117.376+-0.3191, Alpha = 1.1249+-0.0069
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
20.790000	1.680000	2.073065	0.372429	0.372429	0.372429
20.800000	0.740000	1.514067	0.382179	0.382179	0.382179
20.810000	0.500000	1.034408	0.391930	0.391930	0.391930
20.820000	0.580000	1.274206	0.401680	0.401680	0.401680
20.830000	0.520000	1.153083	0.411430	0.411430	0.411430
20.840000	0.460000	1.090138	0.421181	0.421181	0.421181
20.850000	0.360000	0.818780	0.430931	0.430931	0.430931
20.860000	0.400000	1.095445	0.440681	0.440681	0.440681
20.870000	0.620000	1.317422	0.450432	0.450432	0.450432
20.880000	0.400000	0.938083	0.460182	0.460182	0.460182
20.890000	0.700000	1.452584	0.469932	0.469932	0.469932
20.900000	0.840000	1.604494	0.479683	0.479683	0.479683
20.910000	0.640000	1.261111	0.489433	0.489433	0.489433
20.920000	0.600000	1.249000	0.499183	0.499183	0.499183
20.930000	0.560000	0.941488	0.508933	0.508933	0.508933
20.940000	0.580000	1.141753	0.518684	0.518684	0.518684
20.950000	0.680000	1.420422	0.528434	0.528434	0.528434
20.960000	0.500000	1.144552	0.538184	0.538184	0.538184
20.970000	0.680000	1.240000	0.547935	0.547935	0.547935
20.980000	0.760000	1.349963	0.557685	0.557685	0.557685
20.990000	0.620000	1.120536	0.567435	0.567435	0.567435
21.000000	0.780000	1.261586	0.577186	0.577186	0.577186
21.010000	0.360000	0.818780	0.586936	0.586936	0.586936
21.020000	0.520000	1.043839	0.596686	0.596686	0.596686
21.030000	0.520000	1.252837	0.606437	0.606437	0.606437
21.040000	0.580000	1.176265	0.616187	0.616187	0.616187
21.050000	0.680000	1.240000	0.625937	0.625937	0.625937
21.060000	0.680000	1.391977	0.635688	0.635688	0.635688
21.070000	0.460000	0.887919	0.645438	0.645438	0.645438
21.080000	0.760000	1.320000	0.655188	0.655188	0.655188
21.090000	0.500000	1.072381	0.664939	0.664939	0.664939
21.100000	0.620000	1.255229	0.674689	0.674689	0.674689
21.110000	0.520000	1.117855	0.684439	0.684439	0.684439
21.120000	0.700000	1.212436	0.694190	0.694189	0.694190
21.130000	0.520000	1.187266	0.703940	0.703940	0.703940
21.140000	0.600000	1.113553	0.713691	0.713690	0.713691
21.150000	0.660000	1.266649	0.723442	0.723440	0.723442
21.160000	0.400000	0.979796	0.733195	0.733191	0.733195
21.170000	0.500000	1.034408	0.742948	0.742941	0.742948
21.180000	0.600000	1.183216	0.752704	0.752691	0.752704
21.190000	0.740000	1.432620	0.762464	0.762442	0.762464
21.200000	0.760000	1.349963	0.772231	0.772192	0.772231
21.210000	0.600000	1.311488	0.782009	0.781942	0.782009
21.220000	0.640000	1.162067	0.791806	0.791693	0.791806
21.230000	0.560000	1.358823	0.801633	0.801443	0.801633
21.240000	0.600000	1.113553	0.811508	0.811193	0.811508
21.250000	0.840000	1.419296	0.821460	0.820944	0.821460
21.260000	0.560000	1.267438	0.831530	0.830694	0.831530
21.270000	0.600000	1.113553	0.841780	0.840444	0.841780
21.280000	0.840000	1.301691	0.852302	0.850194	0.852302
21.290000	0.820000	1.359265	0.863231	0.859945	0.863231
21.300000	0.480000	0.984683	0.874756	0.869695	0.874756
21.310000	0.580000	1.274206	0.887146	0.879445	0.887146
21.320000	0.720000	1.281249	0.900771	0.889196	0.900771
21.330000	1.000000	1.536229	0.916137	0.898946	0.916137
21.340000	1.000000	1.637071	0.933926	0.908696	0.933926
21.350000	0.840000	1.301691	0.955039	0.918447	0.955039
21.360000	1.200000	1.649242	0.980648	0.928197	0.980648
21.370000	1.180000	1.577213	1.012262	0.937947	1.012262
21.380000	0.960000	1.427725	1.051781	0.947698	1.051781
21.390000	0.960000	1.427725	1.101572	0.957448	1.101572
21.400000	1.380000	1.804328	1.164526	0.967198	1.164526
21.410000	1.280000	1.822526	1.244123	0.976949	1.244123
21.420000	1.440000	1.961224	1.344476	0.986699	1.344476
21.430000	1.600000	1.959592	1.470372	0.996449	1.470372
21.440000	1.620000	1.890926	1.627277	1.006199	1.627277
21.450000	1.880000	2.312055	1.821323	1.015950	1.821323
21.460000	1.540000	1.997098	2.059262	1.025700	2.059262
21.470000	1.980000	2.125935	2.348383	1.035450	2.348383
21.480000	2.320000	2.477418	2.696394	1.045201	2.696394
21.490000	3.120000	2.832949	3.111264	1.054951	3.111264
21.500000	2.800000	2.529822	3.601046	1.064701	3.601046
21.510000	3.640000	3.278780	4.173661	1.074452	4.173661
21.520000	3.920000	3.199000	4.836670	1.084202	4.836670
21.530000	5.160000	3.454620	5.597052	1.093952	5.597052
21.540000	6.020000	3.693183	6.460972	1.103703	6.460972
21.550000	6.780000	3.928308	7.433581	1.113453	7.433581
21.560000	6.780000	4.426240	8.518846	1.123203	8.518846
21.570000	9.140000	4.527737	9.719421	1.132954	9.719421
21.580000	9.740000	4.977188	11.036570	1.142704	11.036570
21.590000	13.100000	4.902040	12.470142	1.152454	12.470142
21.600000	13.800000	6.514599	14.018604	1.162205	14.018604
21.610000	15.940000	5.702315	15.679130	1.171955	15.679130
21.620000	18.140000	6.676856	17.447727	1.181705	17.447727
21.630000	20.620000	7.292160	19.319413	1.191455	19.319413
21.640000	23.120000	7.404431	21.288404	1.201206	21.288404
21.650000	24.200000	7.805127	23.348332	1.210956	23.348332
21.660000	26.260000	8.288088	25.492456	1.220706	25.492456
21.670000	29.060000	8.820227	27.713867	1.230457	27.713867
21.680000	31.340000	8.328529	30.005678	1.240207	30.005678
21.690000	34.860000	8.672970	32.361181	1.249957	32.361181
21.700000	37.720000	10.202039	34.773988	1.259708	34.773988
21.710000	38.740000	11.209478	37.238125	1.269458	37.238125
21.720000	40.820000	10.342514	39.748108	1.279208	39.748108
21.730000	43.080000	10.312788	42.298976	1.288959	42.298976
21.740000	45.860000	10.032966	44.886312	1.298709	44.886312
21.750000	48.280000	10.284046	47.506229	1.308459	47.506229
21.760000	51.320000	10.064671	50.155350	1.318210	50.155350
21.770000	53.300000	12.551892	52.830765	1.327960	52.830765
21.780000	56.560000	11.454536	55.529990	1.337710	55.529990
21.790000	60.080000	12.351259	58.250918	1.347460	58.250918
21.800000	63.020000	12.789042	60.991768	1.357211	60.991768
21.810000	64.960000	14.239326	63.751036	1.366961	63.751036
21.820000	66.260000	13.572487	66.527456	1.376711	66.527456
21.830000	70.900000	12.264991	69.319954	1.386462	69.319954
21.840000	72.420000	14.381363	72.127620	1.396212	72.127620
21.850000	76.040000	13.293547	74.949672	1.405962	74.949672
21.860000	77.440000	15.041489	77.785435	1.415713	77.785435
21.870000	82.240000	14.176826	80.634323	1.425463	80.634323
21.880000	83.120000	14.174117	83.495817	1.435213	83.495817
21.890000	87.700000	13.946684	86.369454	1.444964	86.369454
21.900000	90.560000	15.213363	89.254822	1.454714	89.254822
21.910000	95.220000	14.226440	92.151542	1.464464	92.151542
21.920000	96.060000	16.607119	95.059270	1.474215	95.059270
21.930000	95.940000	16.236884	97.977689	1.483965	97.977689
21.940000	99.200000	14.054181	100.906502	1.493715	100.906502
21.950000	103.500000	16.630995	103.845435	1.503466	103.845435
21.960000	105.100000	15.529263	106.794230	1.513216	106.794230
21.970000	111.200000	18.276105	109.752646	1.522966	109.752646
21.980000	111.100000	17.792864	112.720452	1.532716	112.720452
21.990000	114.900000	17.920547	115.697433	1.542467	115.697433
22.000000	118.700000	17.316755	118.683385	1.552217	118.683385
22.010000	121.400000	16.909879	121.678111	1.561967	121.678111
22.020000	123.000000	17.806740	124.681426	1.571718	124.681426
22.030000	125.600000	17.731328	127.693155	1.581468	127.693155
22.040000	129.600000	16.162426	130.713128	1.591218	130.713128
22.050000	133.300000	18.673029	133.741183	1.600969	133.741183
22.060000	134.400000	18.917505	136.777167	1.610719	136.777167
22.070000	140.400000	20.011397	139.820931	1.620469	139.820931
22.080000	143.300000	18.080321	142.872334	1.630220	142.872334
22.090000	142.600000	19.751051	145.931239	1.639970	145.931239
22.100000	149.000000	17.703107	148.997515	1.649720	148.997515
22.110000	150.100000	18.798670	152.071037	1.659471	152.071037
22.120000	150.200000	19.647493	155.151682	1.669221	155.151682
22.130000	159.000000	18.546159	158.239333	1.678971	158.239333
22.140000	156.900000	24.364688	161.333879	1.688721	161.333879
22.150000	162.300000	19.563384	164.435209	1.698472	164.435209
22.160000	166.700000	19.276255	167.543220	1.708222	167.543220
22.170000	167.100000	21.028219	170.657808	1.717972	170.657808
22.180000	171.400000	24.265366	173.778877	1.727723	173.778877
22.190000	176.900000	19.525010	176.906330	1.737473	176.906330
22.200000	176.300000	23.824987	180.040075	1.747223	180.040075
22.210000	179.200000	21.573688	183.180024	1.756974	183.180024
22.220000	185.500000	21.838269	186.326089	1.766724	186.326089
22.230000	188.600000	21.906529	189.478187	1.776474	189.478187
22.240000	189.400000	22.747483	192.636236	1.786225	192.636236
22.250000	194.600000	21.743045	195.800157	1.795975	195.800157
22.260000	199.300000	22.265085	198.969874	1.805725	198.969874
22.270000	198.000000	23.968312	202.145311	1.815476	202.145311
22.280000	205.600000	24.842544	205.326395	1.825226	205.326395
22.290000	209.400000	22.038330	208.513057	1.834976	208.513057
22.300000	209.200000	20.978274	211.705228	1.844726	211.705228
22.310000	215.200000	22.731124	214.902840	1.854477	214.902840
22.320000	218.900000	22.830375	218.105828	1.864227	218.105828
22.330000	220.300000	23.790292	221.314129	1.873977	221.314129
22.340000	224.000000	23.480204	224.527681	1.883728	224.527681
22.350000	226.100000	23.603262	227.746423	1.893478	227.746423
22.360000	229.800000	22.196757	230.970297	1.903228	230.970297
22.370000	230.600000	24.481667	234.199245	1.912979	234.199245
22.380000	233.900000	22.901223	237.433211	1.922729	237.433211
22.390000	242.400000	26.668933	240.672140	1.932479	240.672140
22.400000	244.000000	24.830626	243.915980	1.942230	243.915980
22.410000	246.200000	26.787908	247.164677	1.951980	247.164677
22.420000	254.800000	26.170212	250.418180	1.961730	250.418180
22.430000	255.900000	28.478027	253.676441	1.971481	253.676441
22.440000	258.100000	24.821402	256.939409	1.981231	256.939409
22.450000	256.600000	24.724563	260.207037	1.990981	260.207037
22.460000	264.600000	24.640617	263.479279	2.000732	263.479279
22.470000	267.700000	27.789746	266.756089	2.010482	266.756089
22.480000	270.600000	24.589591	270.037422	2.020232	270.037422
22.490000	273.000000	24.531612	273.323234	2.029982	273.323234
22.500000	273.200000	29.118929	276.613483	2.039733	276.613483
22.510000	278.800000	27.568243	279.908126	2.049483	279.908126
22.520000	286.100000	26.343083	283.207122	2.059233	283.207122
22.530000	285.900000	32.694862	286.510431	2.068984	286.510431
22.540000	291.700000	28.565819	289.818014	2.078734	289.818014
22.550000	292.400000	25.866271	293.129832	2.088484	293.129832
22.560000	297.400000	28.888891	296.445846	2.098235	296.445846
22.570000	300.300000	28.134498	299.766020	2.107985	299.766020
22.580000	298.100000	25.343757	303.090317	2.117735	303.090317
22.590000	308.800000	25.080510	306.418700	2.127486	306.418700
22.600000	309.500000	27.479265	309.751136	2.137236	309.751136
22.610000	314.200000	30.637624	313.087588	2.146986	313.087588
22.620000	317.900000	29.431106	316.428024	2.156737	316.428024
22.630000	325.400000	29.414418	319.772410	2.166487	319.772410
22.640000	322.900000	31.226239	323.120713	2.176237	323.120713
22.650000	327.500000	29.585638	326.472902	2.185987	326.472902
22.660000	330.900000	30.664996	329.828944	2.195738	329.828944
22.670000	334.300000	31.479168	333.188808	2.205488	333.188808
22.680000	337.300000	29.657208	336.552465	2.215238	336.552465
22.690000	340.100000	28.950889	339.919883	2.224989	339.919883
22.700000	349.600000	32.103582	343.291034	2.234739	343.291034
22.710000	348.800000	29.878286	346.665889	2.244489	346.665889
22.720000	348.100000	32.877743	350.044419	2.254240	350.044419
22.730000	352.300000	29.886017	353.426596	2.263990	353.426596
22.740000	357.800000	26.741877	356.812392	2.273740	356.812392
22.750000	360.300000	32.473589	360.201781	2.283491	360.201781
22.760000	370.800000	32.107569	363.594735	2.293241	363.594735
22.770000	368.300000	28.659414	366.991229	2.302991	366.991229
22.780000	374.200000	28.990619	370.391236	2.312742	370.391236
22.790000	377.100000	34.212600	373.794731	2.322492	373.794731
