# Energy shift = 0.78
# a_1: -2.326 +- 0.028, a_0: 0.2 +- 1.4, domain: [10.78eV ,12.75eV]
# Y-offset = 0.01+-0.0124, AE = 12.9221+-0.0637, Scale Factor = 2.4616+-0.4156, Alpha = 2.5+-0.1688
# Y-offset = 0.01+-0.0279, AE = 14.1929+-0.0431, Scale Factor = 11.6779+-1.2235, Alpha = 2.2797+-0.1078
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
10.780000	23.040000	9.348711	0.005336	-0.014664	-0.004664	0.005336
10.790000	0.080000	0.391918	0.007480	-0.012520	-0.002520	0.007480
10.800000	0.026670	0.229395	0.009625	-0.010375	-0.000375	0.009625
10.810000	0.106700	0.555538	0.011769	-0.008231	0.001769	0.011769
10.820000	0.106700	0.555538	0.013913	-0.006087	0.003913	0.013913
10.830000	0.053330	0.322215	0.016057	-0.003943	0.006057	0.016057
10.840000	0.133300	0.596285	0.018201	-0.001799	0.008201	0.018201
10.850000	0.133300	0.679869	0.020346	0.000346	0.010346	0.020346
10.860000	0.000000	0.000000	0.022490	0.002490	0.012490	0.022490
10.870000	0.053330	0.322215	0.024634	0.004634	0.014634	0.024634
10.880000	0.053330	0.322215	0.026778	0.006778	0.016778	0.026778
10.890000	0.133300	0.679869	0.028922	0.008922	0.018922	0.028922
10.900000	0.133300	0.679869	0.031067	0.011067	0.021067	0.031067
10.910000	0.133300	0.498888	0.033211	0.013211	0.023211	0.033211
10.920000	0.106700	0.555538	0.035355	0.015355	0.025355	0.035355
10.930000	0.053330	0.458791	0.037499	0.017499	0.027499	0.037499
10.940000	0.106700	0.555538	0.039643	0.019643	0.029643	0.039643
10.950000	0.133300	0.596285	0.041788	0.021788	0.031788	0.041788
10.960000	0.026670	0.229395	0.043932	0.023932	0.033932	0.043932
10.970000	0.106700	0.449395	0.046076	0.026076	0.036076	0.046076
10.980000	0.106700	0.555538	0.048220	0.028220	0.038220	0.048220
10.990000	0.213300	0.898789	0.050365	0.030365	0.040365	0.050365
11.000000	0.026670	0.229395	0.052509	0.032509	0.042509	0.052509
11.010000	0.133300	0.596285	0.054653	0.034653	0.044653	0.054653
11.020000	0.053330	0.322215	0.056797	0.036797	0.046797	0.056797
11.030000	0.186700	0.742847	0.058941	0.038941	0.048941	0.058941
11.040000	0.133300	0.596285	0.061086	0.041086	0.051086	0.061086
11.050000	0.080000	0.510163	0.063230	0.043230	0.053230	0.063230
11.060000	0.186700	0.742847	0.065374	0.045374	0.055374	0.065374
11.070000	0.133300	0.596285	0.067518	0.047518	0.057518	0.067518
11.080000	0.053330	0.322215	0.069662	0.049662	0.059662	0.069662
11.090000	0.106700	0.555538	0.071807	0.051807	0.061807	0.071807
11.100000	0.026670	0.229395	0.073951	0.053951	0.063951	0.073951
11.110000	0.160000	0.633298	0.076095	0.056095	0.066095	0.076095
11.120000	0.026670	0.229395	0.078239	0.058239	0.068239	0.078239
11.130000	0.080000	0.510163	0.080383	0.060383	0.070383	0.080383
11.140000	0.053330	0.322215	0.082528	0.062528	0.072528	0.082528
11.150000	0.160000	0.633298	0.084672	0.064672	0.074672	0.084672
11.160000	0.026670	0.229395	0.086816	0.066816	0.076816	0.086816
11.170000	0.053330	0.458791	0.088960	0.068960	0.078960	0.088960
11.180000	0.160000	0.633298	0.091104	0.071104	0.081104	0.091104
11.190000	0.133300	0.754247	0.093249	0.073249	0.083249	0.093249
11.200000	0.026670	0.229395	0.095393	0.075393	0.085393	0.095393
11.210000	0.133300	0.596285	0.097537	0.077537	0.087537	0.097537
11.220000	0.160000	0.633298	0.099681	0.079681	0.089681	0.099681
11.230000	0.106700	0.449395	0.101825	0.081825	0.091825	0.101825
11.240000	0.000000	0.000000	0.103970	0.083970	0.093970	0.103970
11.250000	0.026670	0.229395	0.106114	0.086114	0.096114	0.106114
11.260000	0.133300	0.596285	0.108258	0.088258	0.098258	0.108258
11.270000	0.186700	0.667200	0.110402	0.090402	0.100402	0.110402
11.280000	0.186700	0.667200	0.112546	0.092546	0.102546	0.112546
11.290000	0.026670	0.229395	0.114691	0.094691	0.104691	0.114691
11.300000	0.106700	0.555538	0.116835	0.096835	0.106835	0.116835
11.310000	0.106700	0.449395	0.118979	0.098979	0.108979	0.118979
11.320000	0.133300	0.596285	0.121123	0.101123	0.111123	0.121123
11.330000	0.266700	0.884433	0.123267	0.103267	0.113267	0.123267
11.340000	0.080000	0.510163	0.125412	0.105412	0.115412	0.125412
11.350000	0.400000	1.306395	0.127556	0.107556	0.117556	0.127556
11.360000	0.266700	0.821922	0.129700	0.109700	0.119700	0.129700
11.370000	0.160000	0.633298	0.131844	0.111844	0.121844	0.131844
11.380000	0.240000	0.727370	0.133988	0.113988	0.123988	0.133988
