# Energy shift = 0.78
# a_2: 3.28299 +- 0.00093, a_1: -0.618 +- 0.067, a_0: 0.0 +- 1.7, domain: [10.78eV ,12.96eV]
# Y-offset = 0.0+-0.0027, AE = 12.6323+-0.2821, Scale Factor = 0.1998+-0.1393, Alpha = 2.3905+-0.8909
# Y-offset = 0.0+-0.006, AE = 13.6535+-0.1074, Scale Factor = 1.1431+-0.3455, Alpha = 2.685+-0.3015
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
10.780000	6.980000	4.870277	0.006793	0.006793	0.006793	0.006793
10.790000	0.040000	0.280000	0.006894	0.006894	0.006894	0.006894
10.800000	0.000000	0.000000	0.007002	0.007002	0.007002	0.007002
10.810000	0.000000	0.000000	0.007115	0.007115	0.007115	0.007115
10.820000	0.020000	0.198997	0.007234	0.007234	0.007234	0.007234
10.830000	0.020000	0.198997	0.007359	0.007359	0.007359	0.007359
10.840000	0.000000	0.000000	0.007490	0.007490	0.007490	0.007490
10.850000	0.000000	0.000000	0.007626	0.007626	0.007626	0.007626
10.860000	0.120000	0.620967	0.007769	0.007769	0.007769	0.007769
10.870000	0.040000	0.280000	0.007917	0.007917	0.007917	0.007917
10.880000	0.000000	0.000000	0.008071	0.008071	0.008071	0.008071
10.890000	0.060000	0.341174	0.008231	0.008231	0.008231	0.008231
10.900000	0.100000	0.435890	0.008397	0.008397	0.008397	0.008397
10.910000	0.020000	0.198997	0.008568	0.008568	0.008568	0.008568
10.920000	0.020000	0.198997	0.008745	0.008745	0.008745	0.008745
10.930000	0.040000	0.280000	0.008929	0.008929	0.008929	0.008929
10.940000	0.080000	0.483322	0.009118	0.009118	0.009118	0.009118
10.950000	0.020000	0.198997	0.009312	0.009312	0.009312	0.009312
10.960000	0.060000	0.341174	0.009513	0.009513	0.009513	0.009513
10.970000	0.040000	0.397995	0.009719	0.009719	0.009719	0.009719
10.980000	0.000000	0.000000	0.009932	0.009932	0.009932	0.009932
10.990000	0.040000	0.397995	0.010150	0.010150	0.010150	0.010150
11.000000	0.080000	0.483322	0.010374	0.010374	0.010374	0.010374
11.010000	0.120000	0.682349	0.010603	0.010603	0.010603	0.010603
11.020000	0.020000	0.198997	0.010839	0.010839	0.010839	0.010839
11.030000	0.000000	0.000000	0.011080	0.011080	0.011080	0.011080
11.040000	0.020000	0.198997	0.011328	0.011328	0.011328	0.011328
11.050000	0.000000	0.000000	0.011581	0.011581	0.011581	0.011581
11.060000	0.020000	0.198997	0.011839	0.011839	0.011839	0.011839
11.070000	0.080000	0.483322	0.012104	0.012104	0.012104	0.012104
