# Energy shift = 0.78
# a_2: 183.22472 +- 0.00099, a_1: -27.781 +- 0.066, a_0: 1.1 +- 1.7, domain: [12.78eV ,15.54eV]
# Y-offset = 0.0+-0.0163, AE = 15.5233+-0.0068, Scale Factor = 28.529+-0.2949, Alpha = 1.4645+-0.0186
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
12.780000	6.267000	4.434210	0.522132	0.522132	0.522132
12.790000	0.306700	1.025974	0.514123	0.514123	0.514123
12.800000	0.413300	1.014473	0.506326	0.506326	0.506326
12.810000	0.413300	1.228477	0.498740	0.498740	0.498740
12.820000	0.426700	1.277219	0.491365	0.491365	0.491365
12.830000	0.253300	0.776202	0.484201	0.484201	0.484201
12.840000	0.386700	1.050629	0.477248	0.477248	0.477248
12.850000	0.240000	0.797329	0.470506	0.470506	0.470506
12.860000	0.453300	1.086810	0.463975	0.463975	0.463975
12.870000	0.400000	1.200000	0.457655	0.457655	0.457655
12.880000	0.306700	0.944787	0.451546	0.451546	0.451546
12.890000	0.373300	1.067999	0.445649	0.445649	0.445649
12.900000	0.453300	1.180885	0.439962	0.439962	0.439962
12.910000	0.466700	1.164283	0.434486	0.434486	0.434486
12.920000	0.280000	0.800999	0.429221	0.429221	0.429221
12.930000	0.320000	0.802662	0.424167	0.424167	0.424167
12.940000	0.360000	1.034601	0.419325	0.419325	0.419325
12.950000	0.480000	1.340249	0.414693	0.414693	0.414693
12.960000	0.253300	0.776202	0.410272	0.410272	0.410272
12.970000	0.533300	1.299573	0.406063	0.406063	0.406063
12.980000	0.400000	1.131371	0.402064	0.402064	0.402064
12.990000	0.386700	1.124198	0.398276	0.398276	0.398276
13.000000	0.346700	1.051898	0.394700	0.394700	0.394700
13.010000	0.333300	0.963789	0.391334	0.391334	0.391334
13.020000	0.520000	1.315143	0.388180	0.388180	0.388180
13.030000	0.400000	1.154701	0.385236	0.385236	0.385236
13.040000	0.293300	0.812787	0.382504	0.382504	0.382504
13.050000	0.306700	0.916127	0.379982	0.379982	0.379982
