# Energy shift = 0.8
# Y-offset = 0.0037+-0.0021, AE = 8.5511+-0.0044, Scale Factor = 57.5102+-0.5061, Alpha = 1.6464+-0.0103
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1
6.800000	21.410000	0.766996	0.003664	0.003664
6.810000	0.000000	0.000000	0.003664	0.003664
6.820000	0.000000	0.000000	0.003664	0.003664
6.830000	0.000000	0.000000	0.003664	0.003664
6.840000	0.000000	0.000000	0.003664	0.003664
6.850000	0.013330	0.013289	0.003664	0.003664
6.860000	0.000000	0.000000	0.003664	0.003664
6.870000	0.000000	0.000000	0.003664	0.003664
6.880000	0.000000	0.000000	0.003664	0.003664
6.890000	0.000000	0.000000	0.003664	0.003664
6.900000	0.000000	0.000000	0.003664	0.003664
6.910000	0.000000	0.000000	0.003664	0.003664
6.920000	0.000000	0.000000	0.003664	0.003664
6.930000	0.000000	0.000000	0.003664	0.003664
6.940000	0.000000	0.000000	0.003664	0.003664
6.950000	0.013330	0.013289	0.003664	0.003664
6.960000	0.000000	0.000000	0.003664	0.003664
6.970000	0.000000	0.000000	0.003664	0.003664
6.980000	0.000000	0.000000	0.003664	0.003664
6.990000	0.000000	0.000000	0.003664	0.003664
7.000000	0.013330	0.013289	0.003664	0.003664
7.010000	0.000000	0.000000	0.003664	0.003664
7.020000	0.000000	0.000000	0.003664	0.003664
7.030000	0.000000	0.000000	0.003664	0.003664
7.040000	0.000000	0.000000	0.003664	0.003664
7.050000	0.000000	0.000000	0.003664	0.003664
7.060000	0.000000	0.000000	0.003664	0.003664
7.070000	0.000000	0.000000	0.003664	0.003664
7.080000	0.013330	0.013289	0.003664	0.003664
7.090000	0.000000	0.000000	0.003664	0.003664
7.100000	0.000000	0.000000	0.003664	0.003664
7.110000	0.000000	0.000000	0.003664	0.003664
7.120000	0.000000	0.000000	0.003664	0.003664
7.130000	0.000000	0.000000	0.003664	0.003664
7.140000	0.013330	0.013289	0.003664	0.003664
7.150000	0.013330	0.013289	0.003664	0.003664
7.160000	0.000000	0.000000	0.003664	0.003664
7.170000	0.000000	0.000000	0.003664	0.003664
7.180000	0.000000	0.000000	0.003664	0.003664
7.190000	0.000000	0.000000	0.003664	0.003664
7.200000	0.000000	0.000000	0.003664	0.003664
7.210000	0.013330	0.013289	0.003664	0.003664
7.220000	0.000000	0.000000	0.003664	0.003664
7.230000	0.000000	0.000000	0.003664	0.003664
7.240000	0.000000	0.000000	0.003664	0.003664
7.250000	0.000000	0.000000	0.003664	0.003664
7.260000	0.000000	0.000000	0.003664	0.003664
7.270000	0.000000	0.000000	0.003664	0.003664
7.280000	0.000000	0.000000	0.003664	0.003664
7.290000	0.000000	0.000000	0.003664	0.003664
7.300000	0.013330	0.013289	0.003664	0.003664
7.310000	0.000000	0.000000	0.003664	0.003664
7.320000	0.000000	0.000000	0.003664	0.003664
7.330000	0.000000	0.000000	0.003664	0.003664
7.340000	0.013330	0.013289	0.003664	0.003664
