# Energy shift = 0.69
# a_1: -9.3353 +- 0.0074, a_0: 0.5 +- 1.4, domain: [20.7eV ,21.519999999999996eV]
# Y-offset = 0.0+-0.0174, AE = 21.5649+-0.003, Scale Factor = 65.6328+-0.2375, Alpha = 1.129+-0.0101
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
20.690000	1.000000	1.907878	nan	0.000000	 
20.700000	0.520000	1.153083	0.410206	0.410206	0.410206
20.710000	0.580000	1.274206	0.414923	0.414923	0.414923
20.720000	0.360000	1.144727	0.419640	0.419640	0.419640
20.730000	0.460000	1.291666	0.424357	0.424357	0.424357
20.740000	1.000000	1.661325	0.429074	0.429074	0.429074
20.750000	0.480000	1.170299	0.433791	0.433791	0.433791
20.760000	0.560000	1.134196	0.438508	0.438508	0.438508
20.770000	0.480000	1.062826	0.443225	0.443225	0.443225
20.780000	0.460000	1.090138	0.447942	0.447942	0.447942
20.790000	0.460000	1.260317	0.452659	0.452659	0.452659
20.800000	0.620000	1.376808	0.457377	0.457377	0.457377
20.810000	0.720000	1.400571	0.462094	0.462094	0.462094
20.820000	0.460000	1.126233	0.466811	0.466811	0.466811
20.830000	0.880000	1.656985	0.471528	0.471528	0.471528
20.840000	0.660000	1.387227	0.476245	0.476245	0.476245
20.850000	0.520000	1.284368	0.480962	0.480962	0.480962
20.860000	0.680000	1.271849	0.485679	0.485679	0.485679
20.870000	0.520000	1.284368	0.490396	0.490396	0.490396
20.880000	0.480000	1.099818	0.495113	0.495113	0.495113
20.890000	0.400000	0.938083	0.499830	0.499830	0.499830
20.900000	0.600000	1.249000	0.504547	0.504547	0.504547
20.910000	0.380000	0.924986	0.509265	0.509265	0.509265
20.920000	0.480000	1.099818	0.513982	0.513982	0.513982
20.930000	0.500000	1.144552	0.518699	0.518699	0.518699
20.940000	0.460000	1.014101	0.523416	0.523416	0.523416
20.950000	0.400000	1.095445	0.528133	0.528133	0.528133
20.960000	0.520000	1.187266	0.532850	0.532850	0.532850
20.970000	0.720000	1.510497	0.537567	0.537567	0.537567
20.980000	0.560000	1.329060	0.542284	0.542284	0.542284
20.990000	0.620000	1.317422	0.547001	0.547001	0.547001
21.000000	0.720000	1.510497	0.551718	0.551718	0.551718
21.010000	0.560000	1.267438	0.556436	0.556436	0.556436
21.020000	0.660000	1.358087	0.561153	0.561153	0.561153
21.030000	0.680000	1.420422	0.565870	0.565870	0.565870
21.040000	0.620000	1.461369	0.570587	0.570587	0.570587
21.050000	0.340000	0.851117	0.575304	0.575304	0.575304
21.060000	0.500000	1.337909	0.580021	0.580021	0.580021
21.070000	0.480000	1.024500	0.584738	0.584738	0.584738
21.080000	0.380000	1.007770	0.589455	0.589455	0.589455
21.090000	0.520000	1.081480	0.594172	0.594172	0.594172
21.100000	0.480000	1.236770	0.598889	0.598889	0.598889
21.110000	0.540000	1.195157	0.603607	0.603606	0.603607
21.120000	0.640000	1.382172	0.608324	0.608324	0.608324
21.130000	0.500000	1.144552	0.613041	0.613041	0.613041
21.140000	0.660000	1.576198	0.617758	0.617758	0.617758
21.150000	0.800000	1.574802	0.622476	0.622475	0.622476
21.160000	0.520000	1.252837	0.627193	0.627192	0.627193
21.170000	0.420000	1.242417	0.631912	0.631909	0.631912
21.180000	0.580000	1.450379	0.636631	0.636626	0.636631
21.190000	0.340000	1.021959	0.641352	0.641343	0.641352
21.200000	0.620000	1.255229	0.646077	0.646060	0.646077
21.210000	0.580000	1.335515	0.650806	0.650777	0.650806
21.220000	0.580000	1.335515	0.655543	0.655494	0.655543
21.230000	0.580000	1.450379	0.660293	0.660212	0.660293
21.240000	0.540000	1.228169	0.665065	0.664929	0.665065
21.250000	0.520000	1.252837	0.669870	0.669646	0.669870
21.260000	0.500000	1.307670	0.674729	0.674363	0.674729
21.270000	0.580000	1.176265	0.679668	0.679080	0.679668
21.280000	0.760000	1.668053	0.684731	0.683797	0.684731
21.290000	0.640000	1.323027	0.689979	0.688514	0.689979
21.300000	0.320000	1.008762	0.695501	0.693231	0.695501
21.310000	0.760000	1.569204	0.701422	0.697948	0.701422
21.320000	0.840000	1.553834	0.707918	0.702665	0.707918
21.330000	0.600000	1.341641	0.715230	0.707382	0.715230
21.340000	0.800000	1.600000	0.723684	0.712100	0.723684
21.350000	0.620000	1.347442	0.733717	0.716817	0.733717
21.360000	0.540000	1.228169	0.745899	0.721534	0.745899
21.370000	0.580000	1.209793	0.760971	0.726251	0.760971
21.380000	0.640000	1.195993	0.779874	0.730968	0.779874
21.390000	0.740000	1.665053	0.803787	0.735685	0.803787
21.400000	0.660000	1.266649	0.834166	0.740402	0.834166
21.410000	0.720000	1.371714	0.872774	0.745119	0.872774
21.420000	0.780000	1.323480	0.921715	0.749836	0.921715
21.430000	1.240000	1.892723	0.983457	0.754553	0.983457
21.440000	0.880000	1.704582	1.060846	0.759271	1.060846
21.450000	1.360000	2.330322	1.157103	0.763988	1.157103
21.460000	1.240000	1.913740	1.275809	0.768705	1.275809
21.470000	1.260000	2.147650	1.420867	0.773422	1.420867
21.480000	1.500000	2.066398	1.596451	0.778139	1.596451
21.490000	1.240000	1.828223	1.806926	0.782856	1.806926
21.500000	1.720000	2.245351	2.056758	0.787573	2.056758
21.510000	1.720000	2.135790	2.350398	0.792290	2.350398
21.520000	2.540000	2.574568	2.692168	0.797007	2.692168
21.530000	2.840000	2.941836	3.086129	0.801724	3.086129
21.540000	3.240000	3.707074	3.535955	0.806441	3.535955
21.550000	3.420000	2.970455	4.044813	0.811159	4.044813
21.560000	3.860000	3.558146	4.615263	0.815876	4.615263
21.570000	4.780000	3.708315	5.249168	0.820593	5.249168
21.580000	5.780000	3.918112	5.947640	0.825310	5.947640
21.590000	7.400000	3.974921	6.711011	0.830027	6.711011
21.600000	7.860000	4.933599	7.538836	0.834744	7.538836
21.610000	8.720000	5.157674	8.429923	0.839461	8.429923
21.620000	9.840000	5.590563	9.382395	0.844178	9.382395
21.630000	11.360000	4.978996	10.393775	0.848895	10.393775
21.640000	10.720000	5.517391	11.461085	0.853612	11.461085
21.650000	12.600000	5.695612	12.580963	0.858329	12.580963
21.660000	14.800000	6.099180	13.749777	0.863047	13.749777
21.670000	16.460000	6.828499	14.963744	0.867764	14.963744
21.680000	16.840000	6.911903	16.219039	0.872481	16.219039
21.690000	19.100000	6.611354	17.511893	0.877198	17.511893
21.700000	20.260000	7.286453	18.838672	0.881915	18.838672
21.710000	19.640000	7.168710	20.195947	0.886632	20.195947
21.720000	21.700000	7.936624	21.580537	0.891349	21.580537
21.730000	24.600000	8.296987	22.989542	0.896066	22.989542
21.740000	26.300000	6.976389	24.420360	0.900783	24.420360
21.750000	24.500000	8.363612	25.870681	0.905500	25.870681
21.760000	26.240000	8.932099	27.338487	0.910218	27.338487
21.770000	30.220000	9.199543	28.822029	0.914935	28.822029
21.780000	32.060000	8.733636	30.319805	0.919652	30.319805
21.790000	32.500000	9.746281	31.830535	0.924369	31.830535
21.800000	35.300000	9.153688	33.353135	0.929086	33.353135
21.810000	35.220000	10.788494	34.886686	0.933803	34.886686
21.820000	36.560000	10.522661	36.430413	0.938520	36.430413
21.830000	37.080000	9.543249	37.983660	0.943237	37.983660
21.840000	39.500000	10.816192	39.545868	0.947954	39.545868
21.850000	41.720000	11.537833	41.116562	0.952671	41.116562
21.860000	43.320000	10.526994	42.695329	0.957388	42.695329
21.870000	44.300000	10.637199	44.281814	0.962106	44.281814
21.880000	44.320000	10.133982	45.875702	0.966823	45.875702
21.890000	46.140000	10.681779	47.476715	0.971540	47.476715
21.900000	47.220000	10.792201	49.084604	0.976257	49.084604
21.910000	49.960000	11.909593	50.699142	0.980974	50.699142
21.920000	53.040000	11.151610	52.320125	0.985691	52.320125
21.930000	54.060000	11.653171	53.947361	0.990408	53.947361
21.940000	56.360000	12.735399	55.580677	0.995125	55.580677
21.950000	58.420000	13.813892	57.219909	0.999842	57.219909
21.960000	58.700000	13.459198	58.864904	1.004559	58.864904
21.970000	61.280000	14.007198	60.515520	1.009276	60.515520
21.980000	63.640000	13.744468	62.171620	1.013994	62.171620
21.990000	63.440000	13.172942	63.833077	1.018711	63.833077
22.000000	63.000000	14.009996	65.499772	1.023428	65.499772
22.010000	65.020000	13.216641	67.171587	1.028145	67.171587
22.020000	70.340000	13.413590	68.848416	1.032862	68.848416
22.030000	70.360000	16.736499	70.530153	1.037579	70.530153
22.040000	71.800000	14.868759	72.216700	1.042296	72.216700
22.050000	73.680000	13.557935	73.907961	1.047013	73.907961
22.060000	73.260000	13.817829	75.603847	1.051730	75.603847
22.070000	78.880000	15.492760	77.304270	1.056447	77.304270
22.080000	78.960000	14.714564	79.009147	1.061164	79.009147
22.090000	79.880000	15.223193	80.718397	1.065882	80.718397
22.100000	80.780000	13.398194	82.431945	1.070599	82.431945
22.110000	84.060000	14.914302	84.149717	1.075316	84.149717
22.120000	85.660000	15.773535	85.871640	1.080033	85.871640
22.130000	89.200000	15.139353	87.597647	1.084750	87.597647
22.140000	85.040000	15.761929	89.327672	1.089467	89.327672
22.150000	93.500000	17.598579	91.061651	1.094184	91.061651
22.160000	92.280000	15.297111	92.799521	1.098901	92.799521
22.170000	95.880000	18.765543	94.541225	1.103618	94.541225
22.180000	96.380000	17.656036	96.286704	1.108335	96.286704
22.190000	96.820000	16.975500	98.035903	1.113053	98.035903
22.200000	100.300000	19.168151	99.788767	1.117770	99.788767
22.210000	101.400000	16.192591	101.545245	1.122487	101.545245
22.220000	101.900000	17.799719	103.305286	1.127204	103.305286
22.230000	103.200000	18.362788	105.068841	1.131921	105.068841
22.240000	108.200000	17.991776	106.835863	1.136638	106.835863
22.250000	106.800000	17.087773	108.606304	1.141355	108.606304
22.260000	109.600000	17.882505	110.380121	1.146072	110.380121
22.270000	109.300000	18.711227	112.157269	1.150789	112.157269
22.280000	112.000000	18.933568	113.937706	1.155506	113.937706
22.290000	117.100000	20.698357	115.721391	1.160223	115.721391
22.300000	118.900000	19.104921	117.508284	1.164941	117.508284
22.310000	117.400000	20.596116	119.298346	1.169658	119.298346
22.320000	119.600000	17.519589	121.091538	1.174375	121.091538
22.330000	122.700000	19.351641	122.887824	1.179092	122.887824
22.340000	123.300000	17.942296	124.687168	1.183809	124.687168
22.350000	126.800000	19.955551	126.489533	1.188526	126.489533
22.360000	131.000000	18.828701	128.294887	1.193243	128.294887
22.370000	129.300000	20.636909	130.103195	1.197960	130.103195
22.380000	131.200000	20.309210	131.914425	1.202677	131.914425
22.390000	131.400000	19.024826	133.728545	1.207394	133.728545
22.400000	136.300000	22.107058	135.545523	1.212111	135.545523
22.410000	134.100000	20.654249	137.365329	1.216829	137.365329
22.420000	138.500000	19.281338	139.187934	1.221546	139.187934
22.430000	142.700000	22.148002	141.013308	1.226263	141.013308
22.440000	144.600000	20.832859	142.841423	1.230980	142.841423
22.450000	143.600000	20.280828	144.672252	1.235697	144.672252
22.460000	145.800000	21.948121	146.505766	1.240414	146.505766
22.470000	145.400000	21.015613	148.341939	1.245131	148.341939
22.480000	147.300000	22.145383	150.180746	1.249848	150.180746
22.490000	148.000000	21.075104	152.022160	1.254565	152.022160
22.500000	156.000000	21.533230	153.866157	1.259282	153.866157
22.510000	153.200000	23.933408	155.712712	1.264000	155.712712
22.520000	156.800000	22.007635	157.561802	1.268717	157.561802
22.530000	157.800000	22.168987	159.413402	1.273434	159.413402
22.540000	162.400000	19.810300	161.267491	1.278151	161.267491
22.550000	163.900000	22.939791	163.124044	1.282868	163.124044
22.560000	164.900000	22.313001	164.983041	1.287585	164.983041
22.570000	162.900000	23.117742	166.844459	1.292302	166.844459
22.580000	170.700000	27.422728	168.708277	1.297019	168.708277
22.590000	174.900000	22.368683	170.574474	1.301736	170.574474
22.600000	172.800000	23.705189	172.443030	1.306453	172.443030
22.610000	178.200000	23.347634	174.313925	1.311170	174.313925
22.620000	179.900000	24.150321	176.187138	1.315888	176.187138
22.630000	176.100000	23.755126	178.062651	1.320605	178.062651
22.640000	181.900000	23.976530	179.940445	1.325322	179.940445
22.650000	181.600000	19.463607	181.820500	1.330039	181.820500
22.660000	187.100000	24.214748	183.702798	1.334756	183.702798
22.670000	189.200000	23.807226	185.587322	1.339473	185.587322
22.680000	193.300000	25.023309	187.474053	1.344190	187.474053
22.690000	192.700000	24.100415	189.362975	1.348907	189.362975
