# Energy shift = 0.69
# Y-offset = 0.0+-0.0001, AE = 8.1449+-0.0091, Scale Factor = 4.6718+-0.0735, Alpha = 1.8852+-0.0378
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1
7.190000	0.100000	0.818535	nan	 
7.200000	0.000000	0.000000	0.000046	0.000046
7.210000	0.004000	0.089353	0.000046	0.000046
7.220000	0.004000	0.089353	0.000046	0.000046
7.230000	0.004000	0.089353	0.000046	0.000046
7.240000	0.000000	0.000000	0.000046	0.000046
7.250000	0.000000	0.000000	0.000046	0.000046
7.260000	0.004000	0.089353	0.000046	0.000046
7.270000	0.000000	0.000000	0.000046	0.000046
7.280000	0.000000	0.000000	0.000046	0.000046
7.290000	0.008000	0.126238	0.000046	0.000046
7.300000	0.000000	0.000000	0.000046	0.000046
7.310000	0.000000	0.000000	0.000046	0.000046
7.320000	0.008000	0.126238	0.000046	0.000046
7.330000	0.000000	0.000000	0.000046	0.000046
7.340000	0.000000	0.000000	0.000046	0.000046
7.350000	0.004000	0.089353	0.000046	0.000046
7.360000	0.008000	0.126238	0.000046	0.000046
7.370000	0.000000	0.000000	0.000046	0.000046
7.380000	0.000000	0.000000	0.000046	0.000046
7.390000	0.000000	0.000000	0.000046	0.000046
7.400000	0.000000	0.000000	0.000046	0.000046
7.410000	0.000000	0.000000	0.000046	0.000046
7.420000	0.000000	0.000000	0.000046	0.000046
7.430000	0.000000	0.000000	0.000046	0.000046
7.440000	0.000000	0.000000	0.000046	0.000046
7.450000	0.000000	0.000000	0.000046	0.000046
7.460000	0.000000	0.000000	0.000046	0.000046
7.470000	0.004000	0.089353	0.000046	0.000046
7.480000	0.004000	0.089353	0.000046	0.000046
7.490000	0.000000	0.000000	0.000046	0.000046
7.500000	0.004000	0.089353	0.000046	0.000046
7.510000	0.000000	0.000000	0.000046	0.000046
7.520000	0.000000	0.000000	0.000046	0.000046
7.530000	0.000000	0.000000	0.000046	0.000046
7.540000	0.000000	0.000000	0.000046	0.000046
7.550000	0.000000	0.000000	0.000046	0.000046
7.560000	0.000000	0.000000	0.000046	0.000046
7.570000	0.000000	0.000000	0.000046	0.000046
7.580000	0.004000	0.089353	0.000046	0.000046
7.590000	0.000000	0.000000	0.000046	0.000046
7.600000	0.008000	0.126238	0.000046	0.000046
7.610000	0.000000	0.000000	0.000046	0.000046
7.620000	0.008000	0.126238	0.000046	0.000046
7.630000	0.000000	0.000000	0.000046	0.000046
7.640000	0.000000	0.000000	0.000046	0.000046
7.650000	0.004000	0.089353	0.000046	0.000046
7.660000	0.004000	0.089353	0.000046	0.000046
7.670000	0.004000	0.089353	0.000046	0.000046
7.680000	0.000000	0.000000	0.000046	0.000046
7.690000	0.000000	0.000000	0.000046	0.000046
7.700000	0.004000	0.089353	0.000046	0.000046
7.710000	0.004000	0.089353	0.000046	0.000046
7.720000	0.000000	0.000000	0.000046	0.000046
7.730000	0.004000	0.089353	0.000046	0.000046
7.740000	0.004000	0.089353	0.000046	0.000046
7.750000	0.004000	0.089353	0.000047	0.000047
7.760000	0.000000	0.000000	0.000047	0.000047
7.770000	0.004000	0.089353	0.000047	0.000047
7.780000	0.004000	0.089353	0.000047	0.000047
7.790000	0.000000	0.000000	0.000047	0.000047
7.800000	0.000000	0.000000	0.000047	0.000047
7.810000	0.008000	0.178706	0.000047	0.000047
7.820000	0.000000	0.000000	0.000047	0.000047
7.830000	0.000000	0.000000	0.000048	0.000048
7.840000	0.012000	0.154454	0.000049	0.000049
7.850000	0.004000	0.089353	0.000050	0.000050
7.860000	0.004000	0.089353	0.000053	0.000053
7.870000	0.008000	0.178706	0.000056	0.000056
7.880000	0.000000	0.000000	0.000062	0.000062
7.890000	0.008000	0.126238	0.000070	0.000070
7.900000	0.004000	0.089353	0.000083	0.000083
7.910000	0.008000	0.126238	0.000103	0.000103
7.920000	0.024000	0.281823	0.000131	0.000131
7.930000	0.016000	0.218504	0.000173	0.000173
7.940000	0.020000	0.235797	0.000233	0.000233
7.950000	0.000000	0.000000	0.000318	0.000318
7.960000	0.008000	0.178706	0.000438	0.000438
7.970000	0.016000	0.218504	0.000604	0.000604
7.980000	0.012000	0.154454	0.000832	0.000832
7.990000	0.008000	0.126238	0.001142	0.001142
8.000000	0.048000	0.376425	0.001558	0.001558
8.010000	0.016000	0.178168	0.002111	0.002111
8.020000	0.020000	0.198997	0.002836	0.002836
8.030000	0.024000	0.251841	0.003777	0.003777
8.040000	0.044000	0.343604	0.004986	0.004986
8.050000	0.028000	0.295324	0.006523	0.006523
8.060000	0.044000	0.343604	0.008457	0.008457
8.070000	0.052000	0.386388	0.010865	0.010865
8.080000	0.040000	0.307246	0.013834	0.013834
8.090000	0.072000	0.432222	0.017459	0.017459
8.100000	0.052000	0.386388	0.021843	0.021843
8.110000	0.048000	0.376425	0.027096	0.027096
8.120000	0.064000	0.374037	0.033332	0.033332
8.130000	0.084000	0.490860	0.040673	0.040673
8.140000	0.076000	0.422166	0.049238	0.049238
8.150000	0.064000	0.394847	0.059151	0.059151
8.160000	0.100000	0.563915	0.070533	0.070533
8.170000	0.088000	0.447500	0.083502	0.083502
8.180000	0.140000	0.660606	0.098170	0.098170
8.190000	0.136000	0.617660	0.114645	0.114645
8.200000	0.176000	0.704999	0.133024	0.133024
8.210000	0.180000	0.686731	0.153398	0.153398
8.220000	0.160000	0.637495	0.175847	0.175847
8.230000	0.212000	0.766196	0.200441	0.200441
8.240000	0.220000	0.814616	0.227240	0.227240
8.250000	0.260000	0.812650	0.256293	0.256293
8.260000	0.340000	0.998198	0.287643	0.287643
8.270000	0.372000	1.057174	0.321319	0.321319
8.280000	0.324000	0.928991	0.357345	0.357345
8.290000	0.372000	1.049579	0.395739	0.395739
8.300000	0.392000	1.038430	0.436510	0.436510
8.310000	0.468000	1.130034	0.479663	0.479663
8.320000	0.528000	1.210461	0.525199	0.525199
8.330000	0.472000	1.145956	0.573115	0.573115
