# Energy shift = 0.69
# a_1: -0.5828 +- 0.0068, a_0: 0.0 +- 1.4, domain: [20.689999999999998eV ,21.389999999999997eV]
# Y-offset = 0.01+-0.0293, AE = 21.5625+-0.005, Scale Factor = 54.5915+-0.3478, Alpha = 1.142+-0.0204
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
20.690000	0.800000	1.918333	nan	0.400549	 
20.700000	0.520000	1.117855	0.411025	0.401025	0.411025
20.710000	0.280000	0.693974	0.411500	0.401500	0.411500
20.720000	0.440000	1.080000	0.411975	0.401975	0.411975
20.730000	0.360000	1.034601	0.412450	0.402450	0.412450
20.740000	0.360000	1.034601	0.412926	0.402926	0.412926
20.750000	0.280000	0.800999	0.413401	0.403401	0.413401
20.760000	0.440000	1.003195	0.413876	0.403876	0.413876
20.770000	0.440000	0.920000	0.414351	0.404351	0.414351
20.780000	0.600000	1.456022	0.414827	0.404827	0.414827
20.790000	0.560000	1.267438	0.415302	0.405302	0.415302
20.800000	0.720000	1.637559	0.415777	0.405777	0.415777
20.810000	0.560000	1.134196	0.416253	0.406253	0.416253
20.820000	0.280000	0.800999	0.416728	0.406728	0.416728
20.830000	0.560000	1.202664	0.417203	0.407203	0.417203
20.840000	0.960000	1.509437	0.417678	0.407678	0.417678
20.850000	0.480000	1.170299	0.418154	0.408154	0.418154
20.860000	0.440000	1.003195	0.418629	0.408629	0.418629
20.870000	0.280000	0.895321	0.419104	0.409104	0.419104
20.880000	0.320000	0.926067	0.419579	0.409579	0.419579
20.890000	0.560000	1.267438	0.420055	0.410055	0.420055
20.900000	0.560000	1.267438	0.420530	0.410530	0.420530
20.910000	0.480000	1.236770	0.421005	0.411005	0.421005
20.920000	0.840000	1.922082	0.421480	0.411480	0.421480
20.930000	0.360000	1.109234	0.421956	0.411956	0.421956
20.940000	0.520000	1.486472	0.422431	0.412431	0.422431
20.950000	0.360000	0.954149	0.422906	0.412906	0.422906
20.960000	0.360000	0.954149	0.423382	0.413382	0.423382
20.970000	0.520000	1.117855	0.423857	0.413857	0.423857
20.980000	0.520000	1.187266	0.424332	0.414332	0.424332
20.990000	0.160000	0.542586	0.424807	0.414807	0.424807
21.000000	0.400000	0.979796	0.425283	0.415283	0.425283
21.010000	0.800000	1.600000	0.425758	0.415758	0.425758
21.020000	0.440000	1.219180	0.426233	0.416233	0.426233
21.030000	0.480000	1.236770	0.426708	0.416708	0.426708
21.040000	0.720000	1.312098	0.427184	0.417184	0.427184
21.050000	0.400000	1.058301	0.427659	0.417659	0.427659
21.060000	0.440000	1.080000	0.428134	0.418134	0.428134
21.070000	0.320000	1.085173	0.428610	0.418610	0.428610
21.080000	0.680000	1.240000	0.429085	0.419085	0.429085
21.090000	0.480000	1.299846	0.429560	0.419560	0.429560
21.100000	0.240000	0.763151	0.430035	0.420035	0.430035
21.110000	0.440000	1.080000	0.430511	0.420511	0.430511
21.120000	0.440000	1.219180	0.430986	0.420986	0.430986
21.130000	0.440000	1.080000	0.431461	0.421461	0.431461
21.140000	0.320000	0.733212	0.431937	0.421936	0.431937
21.150000	0.440000	1.003195	0.432412	0.422412	0.432412
21.160000	0.280000	1.265543	0.432888	0.422887	0.432888
21.170000	0.400000	1.200000	0.433365	0.423362	0.433365
21.180000	0.400000	1.200000	0.433842	0.423837	0.433842
21.190000	0.520000	1.252837	0.434321	0.424313	0.434321
21.200000	0.640000	1.292440	0.434803	0.424788	0.434803
21.210000	0.920000	1.507846	0.435289	0.425263	0.435289
21.220000	0.360000	1.034601	0.435782	0.425739	0.435782
21.230000	0.440000	1.151694	0.436287	0.426214	0.436287
21.240000	0.440000	1.080000	0.436811	0.426689	0.436811
21.250000	0.440000	1.219180	0.437365	0.427164	0.437365
21.260000	0.360000	0.866256	0.437966	0.427640	0.437966
21.270000	0.280000	0.895321	0.438638	0.428115	0.438638
21.280000	0.440000	0.920000	0.439418	0.428590	0.439418
21.290000	0.360000	0.954149	0.440361	0.429065	0.440361
21.300000	0.480000	1.099818	0.441543	0.429541	0.441543
21.310000	0.320000	0.835225	0.443072	0.430016	0.443072
21.320000	1.080000	1.753169	0.445101	0.430491	0.445101
21.330000	0.240000	0.763151	0.447837	0.430966	0.447837
21.340000	0.680000	1.420422	0.451560	0.431442	0.451560
21.350000	0.640000	1.410815	0.456643	0.431917	0.456643
21.360000	0.560000	1.267438	0.463572	0.432392	0.463572
21.370000	0.600000	1.562050	0.472978	0.432868	0.472978
21.380000	0.800000	1.600000	0.485658	0.433343	0.485658
21.390000	0.480000	1.360000	0.502609	0.433818	0.502609
21.400000	0.960000	1.561538	0.525057	0.434293	0.525057
21.410000	0.520000	1.117855	0.554484	0.434769	0.554484
21.420000	0.800000	1.697056	0.592651	0.435244	0.592651
21.430000	0.720000	1.685705	0.641620	0.435719	0.641620
21.440000	0.920000	1.397712	0.703759	0.436194	0.703759
21.450000	1.200000	1.697056	0.781740	0.436670	0.781740
21.460000	1.080000	1.507846	0.878526	0.437145	0.878526
21.470000	0.880000	1.607980	0.997336	0.437620	0.997336
21.480000	1.640000	2.215942	1.141599	0.438096	1.141599
21.490000	1.440000	1.877871	1.314891	0.438571	1.314891
21.500000	1.280000	1.990377	1.520856	0.439046	1.520856
21.510000	1.840000	2.361017	1.763117	0.439521	1.763117
21.520000	2.240000	2.818226	2.045172	0.439997	2.045172
21.530000	2.080000	2.225668	2.370299	0.440472	2.370299
21.540000	2.240000	2.818226	2.741446	0.440947	2.741446
21.550000	2.760000	2.796855	3.161141	0.441422	3.161141
21.560000	2.760000	2.462194	3.631408	0.441898	3.631408
21.570000	3.440000	2.593530	4.153705	0.442373	4.153705
21.580000	4.840000	4.080980	4.728876	0.442848	4.728876
21.590000	5.360000	4.389806	5.357136	0.443323	5.357136
21.600000	6.000000	4.595650	6.038075	0.443799	6.038075
21.610000	6.960000	4.886553	6.770684	0.444274	6.770684
21.620000	8.760000	4.731004	7.553412	0.444749	7.553412
21.630000	6.680000	3.786502	8.384232	0.445225	8.384232
21.640000	10.880000	5.687319	9.260724	0.445700	9.260724
21.650000	11.400000	5.589275	10.180168	0.446175	10.180168
21.660000	13.560000	6.187601	11.139639	0.446650	11.139639
21.670000	12.600000	6.826419	12.136098	0.447126	12.136098
21.680000	13.000000	5.370289	13.166481	0.447601	13.166481
21.690000	16.200000	6.907966	14.227771	0.448076	14.227771
21.700000	16.120000	7.148818	15.317068	0.448551	15.317068
21.710000	16.960000	6.611989	16.431636	0.449027	16.431636
21.720000	17.480000	6.643011	17.568939	0.449502	17.568939
21.730000	20.480000	7.803179	18.726666	0.449977	18.726666
21.740000	20.080000	7.030903	19.902741	0.450452	19.902741
21.750000	19.400000	7.090839	21.095323	0.450928	21.095323
21.760000	21.560000	7.861705	22.302796	0.451403	22.302796
21.770000	22.600000	7.789737	23.523761	0.451878	23.523761
21.780000	26.920000	9.961606	24.757010	0.452354	24.757010
21.790000	24.960000	7.246958	26.001512	0.452829	26.001512
21.800000	28.920000	9.467502	27.256388	0.453304	27.256388
21.810000	28.880000	7.799077	28.520890	0.453779	28.520890
21.820000	27.560000	9.263174	29.794383	0.454255	29.794383
21.830000	31.040000	9.977896	31.076326	0.454730	31.076326
21.840000	31.280000	9.957992	32.366255	0.455205	32.366255
21.850000	35.040000	9.158515	33.663770	0.455680	33.663770
21.860000	36.080000	10.590260	34.968525	0.456156	34.968525
21.870000	39.720000	8.890534	36.280217	0.456631	36.280217
21.880000	38.360000	11.024990	37.598576	0.457106	37.598576
21.890000	39.680000	11.477700	38.923362	0.457582	38.923362
21.900000	41.360000	12.168418	40.254360	0.458057	40.254360
21.910000	42.240000	10.587842	41.591373	0.458532	41.591373
21.920000	43.320000	9.504609	42.934220	0.459007	42.934220
21.930000	46.440000	10.720373	44.282735	0.459483	44.282735
21.940000	44.600000	11.643024	45.636763	0.459958	45.636763
21.950000	46.200000	9.808160	46.996162	0.460433	46.996162
21.960000	49.360000	11.533881	48.360794	0.460908	48.360794
21.970000	46.120000	10.728728	49.730534	0.461384	49.730534
21.980000	52.480000	11.125179	51.105262	0.461859	51.105262
21.990000	53.120000	12.014391	52.484865	0.462334	52.484865
22.000000	53.040000	13.892386	53.869234	0.462809	53.869234
22.010000	53.880000	11.351899	55.258267	0.463285	55.258267
22.020000	54.640000	12.556687	56.651868	0.463760	56.651868
22.030000	56.720000	12.091385	58.049944	0.464235	58.049944
22.040000	56.760000	10.157874	59.452407	0.464711	59.452407
22.050000	61.240000	14.543122	60.859171	0.465186	60.859171
22.060000	59.240000	10.360618	62.270155	0.465661	62.270155
22.070000	60.720000	14.619220	63.685283	0.466136	63.685283
22.080000	65.120000	10.347251	65.104479	0.466612	65.104479
22.090000	68.200000	14.445761	66.527672	0.467087	66.527672
22.100000	67.600000	11.461239	67.954794	0.467562	67.954794
22.110000	70.240000	14.168359	69.385777	0.468037	69.385777
22.120000	70.760000	13.046931	70.820559	0.468513	70.820559
22.130000	73.760000	17.015945	72.259078	0.468988	72.259078
22.140000	74.080000	13.640880	73.701274	0.469463	73.701274
22.150000	74.400000	12.244182	75.147091	0.469938	75.147091
22.160000	77.920000	14.842965	76.596473	0.470414	76.596473
22.170000	78.760000	15.716946	78.049366	0.470889	78.049366
22.180000	79.600000	12.178670	79.505719	0.471364	79.505719
22.190000	78.040000	16.548063	80.965483	0.471840	80.965483
22.200000	79.400000	15.295751	82.428608	0.472315	82.428608
22.210000	82.640000	16.397268	83.895047	0.472790	83.895047
22.220000	85.040000	14.323352	85.364756	0.473265	85.364756
22.230000	86.000000	16.277592	86.837690	0.473741	86.837690
22.240000	88.760000	16.689590	88.313805	0.474216	88.313805
22.250000	90.720000	18.047759	89.793061	0.474691	89.793061
22.260000	89.600000	16.823793	91.275417	0.475166	91.275417
22.270000	96.320000	16.484465	92.760833	0.475642	92.760833
22.280000	97.920000	13.623274	94.249272	0.476117	94.249272
22.290000	91.960000	17.345847	95.740696	0.476592	95.740696
22.300000	99.560000	17.831612	97.235068	0.477068	97.235068
22.310000	95.520000	17.566149	98.732355	0.477543	98.732355
22.320000	100.000000	16.321765	100.232521	0.478018	100.232521
22.330000	103.800000	16.474222	101.735532	0.478493	101.735532
22.340000	99.000000	19.021041	103.241357	0.478969	103.241357
22.350000	103.600000	16.169106	104.749964	0.479444	104.749964
22.360000	112.400000	20.227902	106.261321	0.479919	106.261321
22.370000	110.600000	20.313739	107.775398	0.480394	107.775398
22.380000	109.400000	15.702484	109.292165	0.480870	109.292165
22.390000	113.500000	18.055747	110.811594	0.481345	110.811594
22.400000	112.900000	14.006641	112.333657	0.481820	112.333657
22.410000	116.500000	16.683225	113.858326	0.482295	113.858326
22.420000	113.600000	18.331612	115.385573	0.482771	115.385573
22.430000	115.800000	15.959198	116.915374	0.483246	116.915374
22.440000	118.900000	16.652748	118.447701	0.483721	118.447701
22.450000	119.600000	18.900582	119.982530	0.484197	119.982530
22.460000	123.200000	17.577713	121.519836	0.484672	121.519836
22.470000	126.200000	20.613976	123.059595	0.485147	123.059595
22.480000	120.400000	20.065094	124.601784	0.485622	124.601784
22.490000	121.400000	18.014439	126.146379	0.486098	126.146379
22.500000	127.700000	16.528097	127.693357	0.486573	127.693357
22.510000	132.400000	20.001200	129.242697	0.487048	129.242697
22.520000	134.300000	17.265051	130.794377	0.487523	130.794377
22.530000	138.200000	18.850358	132.348375	0.487999	132.348375
22.540000	131.600000	19.567320	133.904670	0.488474	133.904670
22.550000	140.400000	18.129755	135.463243	0.488949	135.463243
22.560000	136.200000	18.934202	137.024072	0.489424	137.024072
22.570000	138.400000	19.953145	138.587139	0.489900	138.587139
