# Energy shift = 0.71
# a_1: -1.951 +- 0.054, a_0: 0.2 +- 1.4, domain: [10.71eV ,14.0eV]
# Y-offset = 0.0+-0.0175, AE = 13.8529+-0.303, Scale Factor = 0.7038+-0.3999, Alpha = 1.7025+-0.6562
# Y-offset = 0.0088+-0.0398, AE = 15.6587+-0.0121, Scale Factor = 21.8573+-0.391, Alpha = 1.2273+-0.0236
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
10.710000	1.920000	2.296432	nan	-0.051455	 	 
10.720000	0.000000	0.000000	nan	-0.049682	 	 
10.730000	0.000000	0.000000	-0.039076	-0.047909	-0.047909	-0.039076
10.740000	0.000000	0.000000	-0.037303	-0.046136	-0.046136	-0.037303
10.750000	0.240000	1.175755	-0.035530	-0.044363	-0.044363	-0.035530
10.760000	0.080000	0.391918	-0.033757	-0.042589	-0.042589	-0.033757
10.770000	0.080000	0.391918	-0.031983	-0.040816	-0.040816	-0.031983
10.780000	0.000000	0.000000	-0.030210	-0.039043	-0.039043	-0.030210
10.790000	0.160000	0.783837	-0.028437	-0.037270	-0.037270	-0.028437
10.800000	0.000000	0.000000	-0.026664	-0.035496	-0.035496	-0.026664
10.810000	0.160000	0.783837	-0.024890	-0.033723	-0.033723	-0.024890
10.820000	0.000000	0.000000	-0.023117	-0.031950	-0.031950	-0.023117
10.830000	0.000000	0.000000	-0.021344	-0.030177	-0.030177	-0.021344
10.840000	0.000000	0.000000	-0.019571	-0.028403	-0.028403	-0.019571
10.850000	0.000000	0.000000	-0.017797	-0.026630	-0.026630	-0.017797
10.860000	0.160000	0.542586	-0.016024	-0.024857	-0.024857	-0.016024
10.870000	0.000000	0.000000	-0.014251	-0.023084	-0.023084	-0.014251
10.880000	0.080000	0.391918	-0.012478	-0.021310	-0.021310	-0.012478
10.890000	0.000000	0.000000	-0.010704	-0.019537	-0.019537	-0.010704
10.900000	0.000000	0.000000	-0.008931	-0.017764	-0.017764	-0.008931
10.910000	0.000000	0.000000	-0.007158	-0.015991	-0.015991	-0.007158
10.920000	0.080000	0.391918	-0.005385	-0.014217	-0.014217	-0.005385
10.930000	0.000000	0.000000	-0.003611	-0.012444	-0.012444	-0.003611
10.940000	0.080000	0.391918	-0.001838	-0.010671	-0.010671	-0.001838
10.950000	0.000000	0.000000	-0.000065	-0.008898	-0.008898	-0.000065
10.960000	0.000000	0.000000	0.001708	-0.007124	-0.007124	0.001708
10.970000	0.000000	0.000000	0.003482	-0.005351	-0.005351	0.003482
10.980000	0.080000	0.391918	0.005255	-0.003578	-0.003578	0.005255
10.990000	0.000000	0.000000	0.007028	-0.001805	-0.001805	0.007028
11.000000	0.000000	0.000000	0.008801	-0.000032	-0.000032	0.008801
11.010000	0.000000	0.000000	0.010574	0.001742	0.001742	0.010574
11.020000	0.000000	0.000000	0.012348	0.003515	0.003515	0.012348
11.030000	0.000000	0.000000	0.014121	0.005288	0.005288	0.014121
11.040000	0.000000	0.000000	0.015894	0.007061	0.007061	0.015894
11.050000	0.000000	0.000000	0.017667	0.008835	0.008835	0.017667
11.060000	0.000000	0.000000	0.019441	0.010608	0.010608	0.019441
11.070000	0.000000	0.000000	0.021214	0.012381	0.012381	0.021214
11.080000	0.000000	0.000000	0.022987	0.014154	0.014154	0.022987
