# Energy shift = 0.71
# a_0: 0.17 +- 1.00, domain: [20.71eV ,21.43eV]
# Y-offset = 0.0+-0.0215, AE = 21.5629+-0.0071, Scale Factor = 51.9891+-0.4539, Alpha = 1.1386+-0.0242
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
20.710000	0.480000	1.170299	0.166156	0.166142	0.166156
20.720000	0.640000	1.352923	0.166156	0.166142	0.166156
20.730000	0.160000	0.542586	0.166156	0.166142	0.166156
20.740000	0.720000	1.483779	0.166156	0.166142	0.166156
20.750000	0.720000	1.778089	0.166156	0.166142	0.166156
20.760000	0.480000	1.024500	0.166156	0.166142	0.166156
20.770000	0.720000	1.778089	0.166156	0.166142	0.166156
20.780000	0.480000	0.854166	0.166156	0.166142	0.166156
20.790000	0.320000	0.733212	0.166156	0.166142	0.166156
20.800000	0.160000	0.783837	0.166156	0.166142	0.166156
20.810000	0.880000	1.274990	0.166156	0.166142	0.166156
20.820000	0.160000	0.542586	0.166156	0.166142	0.166156
20.830000	0.560000	0.897998	0.166156	0.166142	0.166156
20.840000	0.240000	0.861626	0.166156	0.166142	0.166156
20.850000	0.320000	0.926067	0.166156	0.166142	0.166156
20.860000	0.480000	1.024500	0.166156	0.166142	0.166156
20.870000	0.400000	0.979796	0.166156	0.166142	0.166156
20.880000	1.120000	2.268392	0.166156	0.166142	0.166156
20.890000	0.480000	1.417604	0.166156	0.166142	0.166156
20.900000	0.880000	1.704582	0.166156	0.166142	0.166156
20.910000	0.480000	1.299846	0.166156	0.166142	0.166156
20.920000	1.200000	1.496663	0.166156	0.166142	0.166156
20.930000	0.560000	1.061320	0.166156	0.166142	0.166156
20.940000	0.560000	1.202664	0.166156	0.166142	0.166156
20.950000	0.400000	0.979796	0.166156	0.166142	0.166156
20.960000	0.480000	1.024500	0.166156	0.166142	0.166156
20.970000	0.400000	0.979796	0.166156	0.166142	0.166156
20.980000	0.560000	1.329060	0.166156	0.166142	0.166156
20.990000	0.560000	1.202664	0.166156	0.166142	0.166156
21.000000	0.320000	0.926067	0.166156	0.166142	0.166156
21.010000	0.400000	0.979796	0.166156	0.166142	0.166156
21.020000	0.320000	1.085173	0.166156	0.166142	0.166156
21.030000	0.400000	0.979796	0.166156	0.166142	0.166156
21.040000	0.480000	1.024500	0.166156	0.166142	0.166156
21.050000	0.560000	1.745394	0.166156	0.166142	0.166156
21.060000	0.320000	0.926067	0.166156	0.166142	0.166156
21.070000	0.560000	1.202664	0.166156	0.166142	0.166156
21.080000	0.160000	0.542586	0.166156	0.166142	0.166156
21.090000	0.480000	1.170299	0.166156	0.166142	0.166156
21.100000	0.400000	0.979796	0.166156	0.166142	0.166156
21.110000	0.400000	1.131371	0.166156	0.166142	0.166156
21.120000	0.160000	0.783837	0.166156	0.166142	0.166156
21.130000	0.400000	0.800000	0.166156	0.166142	0.166156
21.140000	0.880000	1.795996	0.166157	0.166142	0.166157
21.150000	0.400000	0.979796	0.166157	0.166142	0.166157
21.160000	1.040000	1.611955	0.166158	0.166142	0.166158
21.170000	0.080000	0.391918	0.166159	0.166142	0.166159
21.180000	0.320000	0.926067	0.166161	0.166142	0.166161
21.190000	0.400000	1.264911	0.166164	0.166142	0.166164
21.200000	0.000000	0.000000	0.166170	0.166142	0.166170
21.210000	0.800000	1.876166	0.166180	0.166142	0.166180
21.220000	0.320000	0.926067	0.166197	0.166142	0.166197
21.230000	0.320000	0.926067	0.166226	0.166142	0.166226
21.240000	0.720000	1.114271	0.166272	0.166142	0.166272
21.250000	0.640000	1.571751	0.166346	0.166142	0.166346
21.260000	0.320000	0.733212	0.166465	0.166142	0.166465
21.270000	0.560000	1.061320	0.166651	0.166142	0.166651
21.280000	0.720000	1.483779	0.166940	0.166142	0.166940
21.290000	0.640000	1.352923	0.167383	0.166142	0.167383
21.300000	0.400000	0.800000	0.168052	0.166142	0.168052
21.310000	0.720000	1.371714	0.169052	0.166142	0.169052
21.320000	0.320000	0.926067	0.170526	0.166142	0.170526
21.330000	0.560000	1.329060	0.172671	0.166142	0.172671
21.340000	1.040000	1.611955	0.175754	0.166142	0.175754
21.350000	0.320000	0.733212	0.180129	0.166142	0.180129
21.360000	0.480000	1.417604	0.186261	0.166142	0.186261
21.370000	0.800000	1.600000	0.194748	0.166142	0.194748
21.380000	1.040000	1.399428	0.206351	0.166142	0.206351
21.390000	1.120000	1.966113	0.222019	0.166142	0.222019
21.400000	0.720000	1.483779	0.242922	0.166142	0.242922
21.410000	0.800000	1.385641	0.270474	0.166142	0.270474
21.420000	0.640000	1.352923	0.306355	0.166142	0.306355
21.430000	0.800000	1.131371	0.352534	0.166142	0.352534
21.440000	0.960000	1.799556	0.411271	0.166142	0.411271
21.450000	0.720000	1.249640	0.485122	0.166142	0.485122
21.460000	0.880000	1.394848	0.576916	0.166142	0.576916
21.470000	1.520000	1.417604	0.689733	0.166142	0.689733
21.480000	1.520000	2.483868	0.826852	0.166142	0.826852
21.490000	0.880000	1.505191	0.991696	0.166142	0.991696
21.500000	1.040000	1.280000	1.187753	0.166142	1.187753
21.510000	1.440000	1.920000	1.418492	0.166142	1.418492
21.520000	1.840000	2.326886	1.687264	0.166142	1.687264
21.530000	2.000000	2.332381	1.997210	0.166142	1.997210
21.540000	1.680000	2.167395	2.351155	0.166142	2.351155
21.550000	2.400000	3.249615	2.751524	0.166142	2.751524
21.560000	1.840000	2.648471	3.200258	0.166142	3.200258
21.570000	3.920000	3.223911	3.698754	0.166142	3.698754
21.580000	2.640000	2.868867	4.247823	0.166142	4.247823
21.590000	4.400000	4.156922	4.847671	0.166142	4.847671
