# Energy shift = 0.66
# Y-offset = 0.0004+-0.0002, AE = 8.2047+-0.011, Scale Factor = 4.7679+-0.0724, Alpha = 1.6624+-0.0486
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1
7.160000	0.080460	0.023894	0.000362	0.000362
7.170000	0.000000	0.000000	0.000362	0.000362
7.180000	0.000000	0.000000	0.000362	0.000362
7.190000	0.000000	0.000000	0.000362	0.000362
7.200000	0.000000	0.000000	0.000362	0.000362
7.210000	0.000000	0.000000	0.000362	0.000362
7.220000	0.000000	0.000000	0.000362	0.000362
7.230000	0.000000	0.000000	0.000362	0.000362
7.240000	0.005747	0.003997	0.000362	0.000362
7.250000	0.005747	0.003997	0.000362	0.000362
7.260000	0.000000	0.000000	0.000362	0.000362
7.270000	0.011490	0.005648	0.000362	0.000362
7.280000	0.000000	0.000000	0.000362	0.000362
7.290000	0.000000	0.000000	0.000362	0.000362
7.300000	0.000000	0.000000	0.000362	0.000362
7.310000	0.011490	0.005648	0.000362	0.000362
7.320000	0.000000	0.000000	0.000362	0.000362
7.330000	0.005747	0.003997	0.000362	0.000362
7.340000	0.011490	0.005648	0.000362	0.000362
7.350000	0.000000	0.000000	0.000362	0.000362
7.360000	0.000000	0.000000	0.000362	0.000362
7.370000	0.000000	0.000000	0.000362	0.000362
7.380000	0.000000	0.000000	0.000362	0.000362
7.390000	0.005747	0.003997	0.000362	0.000362
7.400000	0.000000	0.000000	0.000362	0.000362
7.410000	0.000000	0.000000	0.000362	0.000362
7.420000	0.005747	0.003997	0.000362	0.000362
7.430000	0.000000	0.000000	0.000362	0.000362
7.440000	0.005747	0.003997	0.000362	0.000362
7.450000	0.000000	0.000000	0.000362	0.000362
7.460000	0.005764	0.003997	0.000362	0.000362
7.470000	0.000000	0.000000	0.000362	0.000362
7.480000	0.005764	0.003997	0.000362	0.000362
7.490000	0.017290	0.006911	0.000362	0.000362
7.500000	0.005764	0.003997	0.000362	0.000362
7.510000	0.005764	0.003997	0.000362	0.000362
7.520000	0.005764	0.003997	0.000362	0.000362
7.530000	0.011530	0.005648	0.000362	0.000362
7.540000	0.000000	0.000000	0.000362	0.000362
7.550000	0.011530	0.005648	0.000362	0.000362
7.560000	0.000000	0.000000	0.000362	0.000362
7.570000	0.005764	0.003997	0.000362	0.000362
7.580000	0.000000	0.000000	0.000362	0.000362
7.590000	0.005764	0.003997	0.000362	0.000362
7.600000	0.011530	0.005648	0.000362	0.000362
7.610000	0.000000	0.000000	0.000362	0.000362
7.620000	0.000000	0.000000	0.000362	0.000362
7.630000	0.005764	0.003997	0.000362	0.000362
7.640000	0.000000	0.000000	0.000362	0.000362
7.650000	0.000000	0.000000	0.000363	0.000363
7.660000	0.000000	0.000000	0.000363	0.000363
7.670000	0.011530	0.005648	0.000363	0.000363
7.680000	0.005764	0.003997	0.000363	0.000363
7.690000	0.000000	0.000000	0.000363	0.000363
7.700000	0.005764	0.003997	0.000364	0.000364
7.710000	0.017290	0.006911	0.000365	0.000365
7.720000	0.000000	0.000000	0.000366	0.000366
7.730000	0.000000	0.000000	0.000367	0.000367
