# Energy shift = 0.66
# Y-offset = 0.0015+-0.0021, AE = 13.2301+-0.0609, Scale Factor = 0.8838+-0.1415, Alpha = 2.2948+-0.1867
# Y-offset = 0.0+-0.0067, AE = 14.3152+-0.2456, Scale Factor = 1.3837+-1.0476, Alpha = 3.0599+-0.603
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
8.660000	2.480000	0.496774	0.001465	0.001465	0.001465
8.670000	0.000000	0.000000	0.001465	0.001465	0.001465
8.680000	0.000000	0.000000	0.001465	0.001465	0.001465
8.690000	0.000000	0.000000	0.001465	0.001465	0.001465
8.700000	0.000000	0.000000	0.001465	0.001465	0.001465
8.710000	0.000000	0.000000	0.001465	0.001465	0.001465
8.720000	0.000000	0.000000	0.001465	0.001465	0.001465
8.730000	0.000000	0.000000	0.001465	0.001465	0.001465
8.740000	0.000000	0.000000	0.001465	0.001465	0.001465
8.750000	0.000000	0.000000	0.001465	0.001465	0.001465
8.760000	0.080000	0.078384	0.001465	0.001465	0.001465
8.770000	0.000000	0.000000	0.001465	0.001465	0.001465
8.780000	0.000000	0.000000	0.001465	0.001465	0.001465
8.790000	0.000000	0.000000	0.001465	0.001465	0.001465
8.800000	0.000000	0.000000	0.001465	0.001465	0.001465
8.810000	0.000000	0.000000	0.001465	0.001465	0.001465
8.820000	0.000000	0.000000	0.001465	0.001465	0.001465
8.830000	0.000000	0.000000	0.001465	0.001465	0.001465
8.840000	0.000000	0.000000	0.001465	0.001465	0.001465
8.850000	0.000000	0.000000	0.001465	0.001465	0.001465
8.860000	0.000000	0.000000	0.001465	0.001465	0.001465
8.870000	0.000000	0.000000	0.001465	0.001465	0.001465
8.880000	0.000000	0.000000	0.001465	0.001465	0.001465
8.890000	0.000000	0.000000	0.001465	0.001465	0.001465
8.900000	0.000000	0.000000	0.001465	0.001465	0.001465
8.910000	0.000000	0.000000	0.001465	0.001465	0.001465
8.920000	0.000000	0.000000	0.001465	0.001465	0.001465
8.930000	0.000000	0.000000	0.001465	0.001465	0.001465
8.940000	0.000000	0.000000	0.001465	0.001465	0.001465
8.950000	0.000000	0.000000	0.001465	0.001465	0.001465
8.960000	0.000000	0.000000	0.001465	0.001465	0.001465
8.970000	0.000000	0.000000	0.001465	0.001465	0.001465
8.980000	0.000000	0.000000	0.001465	0.001465	0.001465
8.990000	0.000000	0.000000	0.001465	0.001465	0.001465
9.000000	0.000000	0.000000	0.001465	0.001465	0.001465
9.010000	0.000000	0.000000	0.001465	0.001465	0.001465
9.020000	0.000000	0.000000	0.001465	0.001465	0.001465
9.030000	0.000000	0.000000	0.001465	0.001465	0.001465
9.040000	0.080000	0.078384	0.001465	0.001465	0.001465
9.050000	0.000000	0.000000	0.001465	0.001465	0.001465
9.060000	0.000000	0.000000	0.001465	0.001465	0.001465
9.070000	0.000000	0.000000	0.001465	0.001465	0.001465
9.080000	0.000000	0.000000	0.001465	0.001465	0.001465
9.090000	0.000000	0.000000	0.001465	0.001465	0.001465
9.100000	0.000000	0.000000	0.001465	0.001465	0.001465
9.110000	0.000000	0.000000	0.001465	0.001465	0.001465
9.120000	0.000000	0.000000	0.001465	0.001465	0.001465
9.130000	0.000000	0.000000	0.001465	0.001465	0.001465
9.140000	0.000000	0.000000	0.001465	0.001465	0.001465
9.150000	0.000000	0.000000	0.001465	0.001465	0.001465
9.160000	0.000000	0.000000	0.001465	0.001465	0.001465
9.170000	0.000000	0.000000	0.001465	0.001465	0.001465
9.180000	0.000000	0.000000	0.001465	0.001465	0.001465
9.190000	0.000000	0.000000	0.001465	0.001465	0.001465
9.200000	0.000000	0.000000	0.001465	0.001465	0.001465
9.210000	0.000000	0.000000	0.001465	0.001465	0.001465
9.220000	0.000000	0.000000	0.001465	0.001465	0.001465
9.230000	0.000000	0.000000	0.001465	0.001465	0.001465
9.240000	0.000000	0.000000	0.001465	0.001465	0.001465
9.250000	0.000000	0.000000	0.001465	0.001465	0.001465
9.260000	0.000000	0.000000	0.001465	0.001465	0.001465
9.270000	0.000000	0.000000	0.001465	0.001465	0.001465
9.280000	0.000000	0.000000	0.001465	0.001465	0.001465
9.290000	0.000000	0.000000	0.001465	0.001465	0.001465
9.300000	0.000000	0.000000	0.001465	0.001465	0.001465
9.310000	0.000000	0.000000	0.001465	0.001465	0.001465
9.320000	0.000000	0.000000	0.001465	0.001465	0.001465
9.330000	0.000000	0.000000	0.001465	0.001465	0.001465
9.340000	0.000000	0.000000	0.001465	0.001465	0.001465
9.350000	0.000000	0.000000	0.001465	0.001465	0.001465
9.360000	0.000000	0.000000	0.001465	0.001465	0.001465
9.370000	0.000000	0.000000	0.001465	0.001465	0.001465
9.380000	0.000000	0.000000	0.001465	0.001465	0.001465
9.390000	0.000000	0.000000	0.001465	0.001465	0.001465
9.400000	0.000000	0.000000	0.001465	0.001465	0.001465
9.410000	0.000000	0.000000	0.001465	0.001465	0.001465
9.420000	0.000000	0.000000	0.001465	0.001465	0.001465
9.430000	0.000000	0.000000	0.001465	0.001465	0.001465
9.440000	0.000000	0.000000	0.001465	0.001465	0.001465
9.450000	0.000000	0.000000	0.001465	0.001465	0.001465
9.460000	0.000000	0.000000	0.001465	0.001465	0.001465
9.470000	0.000000	0.000000	0.001465	0.001465	0.001465
9.480000	0.080000	0.078384	0.001465	0.001465	0.001465
9.490000	0.000000	0.000000	0.001465	0.001465	0.001465
9.500000	0.000000	0.000000	0.001465	0.001465	0.001465
9.510000	0.000000	0.000000	0.001465	0.001465	0.001465
9.520000	0.000000	0.000000	0.001465	0.001465	0.001465
9.530000	0.000000	0.000000	0.001465	0.001465	0.001465
9.540000	0.000000	0.000000	0.001465	0.001465	0.001465
9.550000	0.000000	0.000000	0.001465	0.001465	0.001465
9.560000	0.000000	0.000000	0.001465	0.001465	0.001465
9.570000	0.000000	0.000000	0.001465	0.001465	0.001465
9.580000	0.000000	0.000000	0.001465	0.001465	0.001465
9.590000	0.000000	0.000000	0.001465	0.001465	0.001465
9.600000	0.000000	0.000000	0.001465	0.001465	0.001465
9.610000	0.000000	0.000000	0.001465	0.001465	0.001465
9.620000	0.000000	0.000000	0.001465	0.001465	0.001465
9.630000	0.000000	0.000000	0.001465	0.001465	0.001465
9.640000	0.000000	0.000000	0.001465	0.001465	0.001465
9.650000	0.000000	0.000000	0.001465	0.001465	0.001465
9.660000	0.000000	0.000000	0.001465	0.001465	0.001465
9.670000	0.000000	0.000000	0.001465	0.001465	0.001465
9.680000	0.000000	0.000000	0.001465	0.001465	0.001465
9.690000	0.000000	0.000000	0.001465	0.001465	0.001465
9.700000	0.000000	0.000000	0.001465	0.001465	0.001465
9.710000	0.000000	0.000000	0.001465	0.001465	0.001465
9.720000	0.000000	0.000000	0.001465	0.001465	0.001465
9.730000	0.000000	0.000000	0.001465	0.001465	0.001465
9.740000	0.000000	0.000000	0.001465	0.001465	0.001465
9.750000	0.160000	0.156767	0.001465	0.001465	0.001465
9.760000	0.000000	0.000000	0.001465	0.001465	0.001465
9.770000	0.000000	0.000000	0.001465	0.001465	0.001465
9.780000	0.000000	0.000000	0.001465	0.001465	0.001465
9.790000	0.000000	0.000000	0.001465	0.001465	0.001465
9.800000	0.000000	0.000000	0.001465	0.001465	0.001465
9.810000	0.000000	0.000000	0.001465	0.001465	0.001465
9.820000	0.000000	0.000000	0.001465	0.001465	0.001465
9.830000	0.080000	0.078384	0.001465	0.001465	0.001465
9.840000	0.000000	0.000000	0.001465	0.001465	0.001465
9.850000	0.000000	0.000000	0.001465	0.001465	0.001465
9.860000	0.000000	0.000000	0.001465	0.001465	0.001465
9.870000	0.000000	0.000000	0.001465	0.001465	0.001465
9.880000	0.000000	0.000000	0.001465	0.001465	0.001465
9.890000	0.000000	0.000000	0.001465	0.001465	0.001465
9.900000	0.000000	0.000000	0.001465	0.001465	0.001465
9.910000	0.000000	0.000000	0.001465	0.001465	0.001465
9.920000	0.000000	0.000000	0.001465	0.001465	0.001465
9.930000	0.000000	0.000000	0.001465	0.001465	0.001465
9.940000	0.000000	0.000000	0.001465	0.001465	0.001465
9.950000	0.000000	0.000000	0.001465	0.001465	0.001465
9.960000	0.000000	0.000000	0.001465	0.001465	0.001465
9.970000	0.000000	0.000000	0.001465	0.001465	0.001465
9.980000	0.000000	0.000000	0.001465	0.001465	0.001465
9.990000	0.000000	0.000000	0.001465	0.001465	0.001465
10.000000	0.000000	0.000000	0.001465	0.001465	0.001465
10.010000	0.000000	0.000000	0.001465	0.001465	0.001465
10.020000	0.000000	0.000000	0.001465	0.001465	0.001465
10.030000	0.000000	0.000000	0.001465	0.001465	0.001465
10.040000	0.000000	0.000000	0.001465	0.001465	0.001465
10.050000	0.000000	0.000000	0.001465	0.001465	0.001465
10.060000	0.000000	0.000000	0.001465	0.001465	0.001465
10.070000	0.000000	0.000000	0.001465	0.001465	0.001465
10.080000	0.000000	0.000000	0.001465	0.001465	0.001465
10.090000	0.080000	0.078384	0.001465	0.001465	0.001465
10.100000	0.000000	0.000000	0.001465	0.001465	0.001465
10.110000	0.000000	0.000000	0.001465	0.001465	0.001465
10.120000	0.000000	0.000000	0.001465	0.001465	0.001465
10.130000	0.000000	0.000000	0.001465	0.001465	0.001465
10.140000	0.000000	0.000000	0.001465	0.001465	0.001465
10.150000	0.000000	0.000000	0.001465	0.001465	0.001465
10.160000	0.000000	0.000000	0.001465	0.001465	0.001465
10.170000	0.000000	0.000000	0.001465	0.001465	0.001465
10.180000	0.000000	0.000000	0.001465	0.001465	0.001465
10.190000	0.000000	0.000000	0.001465	0.001465	0.001465
10.200000	0.000000	0.000000	0.001465	0.001465	0.001465
10.210000	0.000000	0.000000	0.001465	0.001465	0.001465
10.220000	0.160000	0.108517	0.001465	0.001465	0.001465
10.230000	0.000000	0.000000	0.001465	0.001465	0.001465
10.240000	0.000000	0.000000	0.001465	0.001465	0.001465
10.250000	0.000000	0.000000	0.001465	0.001465	0.001465
10.260000	0.000000	0.000000	0.001465	0.001465	0.001465
10.270000	0.000000	0.000000	0.001465	0.001465	0.001465
10.280000	0.000000	0.000000	0.001465	0.001465	0.001465
10.290000	0.080000	0.078384	0.001465	0.001465	0.001465
10.300000	0.000000	0.000000	0.001465	0.001465	0.001465
10.310000	0.000000	0.000000	0.001465	0.001465	0.001465
10.320000	0.000000	0.000000	0.001465	0.001465	0.001465
10.330000	0.000000	0.000000	0.001465	0.001465	0.001465
10.340000	0.000000	0.000000	0.001465	0.001465	0.001465
10.350000	0.000000	0.000000	0.001465	0.001465	0.001465
10.360000	0.000000	0.000000	0.001465	0.001465	0.001465
10.370000	0.000000	0.000000	0.001465	0.001465	0.001465
10.380000	0.000000	0.000000	0.001465	0.001465	0.001465
10.390000	0.080000	0.078384	0.001465	0.001465	0.001465
10.400000	0.000000	0.000000	0.001465	0.001465	0.001465
10.410000	0.080000	0.078384	0.001465	0.001465	0.001465
10.420000	0.000000	0.000000	0.001465	0.001465	0.001465
10.430000	0.000000	0.000000	0.001465	0.001465	0.001465
10.440000	0.000000	0.000000	0.001465	0.001465	0.001465
10.450000	0.000000	0.000000	0.001465	0.001465	0.001465
10.460000	0.160000	0.156767	0.001465	0.001465	0.001465
10.470000	0.000000	0.000000	0.001465	0.001465	0.001465
10.480000	0.160000	0.156767	0.001465	0.001465	0.001465
10.490000	0.240000	0.235151	0.001465	0.001465	0.001465
10.500000	0.000000	0.000000	0.001465	0.001465	0.001465
10.510000	0.000000	0.000000	0.001465	0.001465	0.001465
10.520000	0.000000	0.000000	0.001465	0.001465	0.001465
10.530000	0.000000	0.000000	0.001465	0.001465	0.001465
10.540000	0.000000	0.000000	0.001465	0.001465	0.001465
10.550000	0.080000	0.078384	0.001465	0.001465	0.001465
10.560000	0.000000	0.000000	0.001465	0.001465	0.001465
10.570000	0.000000	0.000000	0.001465	0.001465	0.001465
10.580000	0.000000	0.000000	0.001465	0.001465	0.001465
10.590000	0.000000	0.000000	0.001465	0.001465	0.001465
10.600000	0.000000	0.000000	0.001465	0.001465	0.001465
10.610000	0.000000	0.000000	0.001465	0.001465	0.001465
10.620000	0.000000	0.000000	0.001465	0.001465	0.001465
10.630000	0.000000	0.000000	0.001465	0.001465	0.001465
10.640000	0.000000	0.000000	0.001465	0.001465	0.001465
10.650000	0.000000	0.000000	0.001465	0.001465	0.001465
10.660000	0.000000	0.000000	0.001465	0.001465	0.001465
