# Energy shift = 0.7
# a_1: -0.339 +- 0.033, a_0: 0.0 +- 1.4, domain: [10.7eV ,12.6eV]
# Y-offset = 0.0+-0.0079, AE = 13.1227+-0.5082, Scale Factor = 0.2487+-0.2932, Alpha = 2.1725+-1.1383
# Y-offset = 0.01+-0.0473, AE = 15.6066+-0.0137, Scale Factor = 21.1696+-0.4291, Alpha = 1.2718+-0.0288
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)
10.700000	1.920000	2.296432	0.076584	0.066584	0.066584	0.076584
10.710000	0.000000	0.000000	0.076963	0.066963	0.066963	0.076963
10.720000	0.000000	0.000000	0.077342	0.067342	0.067342	0.077342
10.730000	0.000000	0.000000	0.077722	0.067722	0.067722	0.077722
10.740000	0.240000	1.175755	0.078101	0.068101	0.068101	0.078101
10.750000	0.080000	0.391918	0.078480	0.068480	0.068480	0.078480
10.760000	0.080000	0.391918	0.078860	0.068860	0.068860	0.078860
10.770000	0.000000	0.000000	0.079239	0.069239	0.069239	0.079239
10.780000	0.160000	0.783837	0.079618	0.069618	0.069618	0.079618
10.790000	0.000000	0.000000	0.079998	0.069998	0.069998	0.079998
10.800000	0.160000	0.783837	0.080377	0.070377	0.070377	0.080377
10.810000	0.000000	0.000000	0.080756	0.070756	0.070756	0.080756
10.820000	0.000000	0.000000	0.081135	0.071135	0.071135	0.081135
10.830000	0.000000	0.000000	0.081515	0.071515	0.071515	0.081515
10.840000	0.000000	0.000000	0.081894	0.071894	0.071894	0.081894
10.850000	0.160000	0.542586	0.082273	0.072273	0.072273	0.082273
10.860000	0.000000	0.000000	0.082653	0.072653	0.072653	0.082653
10.870000	0.080000	0.391918	0.083032	0.073032	0.073032	0.083032
10.880000	0.000000	0.000000	0.083411	0.073411	0.073411	0.083411
10.890000	0.000000	0.000000	0.083791	0.073791	0.073791	0.083791
10.900000	0.000000	0.000000	0.084170	0.074170	0.074170	0.084170
10.910000	0.080000	0.391918	0.084549	0.074549	0.074549	0.084549
10.920000	0.000000	0.000000	0.084928	0.074928	0.074928	0.084928
10.930000	0.080000	0.391918	0.085308	0.075308	0.075308	0.085308
10.940000	0.000000	0.000000	0.085687	0.075687	0.075687	0.085687
10.950000	0.000000	0.000000	0.086066	0.076066	0.076066	0.086066
10.960000	0.000000	0.000000	0.086446	0.076446	0.076446	0.086446
10.970000	0.080000	0.391918	0.086825	0.076825	0.076825	0.086825
10.980000	0.000000	0.000000	0.087204	0.077204	0.077204	0.087204
10.990000	0.000000	0.000000	0.087584	0.077584	0.077584	0.087584
11.000000	0.000000	0.000000	0.087963	0.077963	0.077963	0.087963
11.010000	0.000000	0.000000	0.088342	0.078342	0.078342	0.088342
11.020000	0.000000	0.000000	0.088722	0.078722	0.078722	0.088722
11.030000	0.000000	0.000000	0.089101	0.079101	0.079101	0.089101
11.040000	0.000000	0.000000	0.089480	0.079480	0.079480	0.089480
11.050000	0.000000	0.000000	0.089859	0.079859	0.079859	0.089859
11.060000	0.000000	0.000000	0.090239	0.080239	0.080239	0.090239
11.070000	0.000000	0.000000	0.090618	0.080618	0.080618	0.090618
11.080000	0.000000	0.000000	0.090997	0.080997	0.080997	0.090997
11.090000	0.000000	0.000000	0.091377	0.081377	0.081377	0.091377
11.100000	0.080000	0.391918	0.091756	0.081756	0.081756	0.091756
11.110000	0.240000	1.175755	0.092135	0.082135	0.082135	0.092135
11.120000	0.000000	0.000000	0.092515	0.082515	0.082515	0.092515
11.130000	0.000000	0.000000	0.092894	0.082894	0.082894	0.092894
11.140000	0.080000	0.391918	0.093273	0.083273	0.083273	0.093273
11.150000	0.160000	0.783837	0.093653	0.083653	0.083653	0.093653
11.160000	0.240000	0.861626	0.094032	0.084032	0.084032	0.094032
11.170000	0.160000	0.783837	0.094411	0.084411	0.084411	0.094411
11.180000	0.000000	0.000000	0.094790	0.084790	0.084790	0.094790
11.190000	0.000000	0.000000	0.095170	0.085170	0.085170	0.095170
11.200000	0.240000	0.861626	0.095549	0.085549	0.085549	0.095549
11.210000	0.080000	0.391918	0.095928	0.085928	0.085928	0.095928
11.220000	0.000000	0.000000	0.096308	0.086308	0.086308	0.096308
11.230000	0.080000	0.391918	0.096687	0.086687	0.086687	0.096687
11.240000	0.160000	0.783837	0.097066	0.087066	0.087066	0.097066
11.250000	0.080000	0.391918	0.097446	0.087446	0.087446	0.097446
11.260000	0.080000	0.391918	0.097825	0.087825	0.087825	0.097825
11.270000	0.000000	0.000000	0.098204	0.088204	0.088204	0.098204
11.280000	0.080000	0.391918	0.098583	0.088583	0.088583	0.098583
11.290000	0.320000	1.085173	0.098963	0.088963	0.088963	0.098963
11.300000	0.080000	0.391918	0.099342	0.089342	0.089342	0.099342
11.310000	0.160000	0.542586	0.099721	0.089721	0.089721	0.099721
11.320000	0.000000	0.000000	0.100101	0.090101	0.090101	0.100101
11.330000	0.000000	0.000000	0.100480	0.090480	0.090480	0.100480
11.340000	0.000000	0.000000	0.100859	0.090859	0.090859	0.100859
11.350000	0.080000	0.391918	0.101239	0.091239	0.091239	0.101239
11.360000	0.080000	0.391918	0.101618	0.091618	0.091618	0.101618
11.370000	0.000000	0.000000	0.101997	0.091997	0.091997	0.101997
11.380000	0.000000	0.000000	0.102377	0.092377	0.092377	0.102377
11.390000	0.080000	0.391918	0.102756	0.092756	0.092756	0.102756
11.400000	0.000000	0.000000	0.103135	0.093135	0.093135	0.103135
11.410000	0.160000	0.783837	0.103514	0.093514	0.093514	0.103514
11.420000	0.000000	0.000000	0.103894	0.093894	0.093894	0.103894
11.430000	0.080000	0.391918	0.104273	0.094273	0.094273	0.104273
11.440000	0.240000	0.649923	0.104652	0.094652	0.094652	0.104652
11.450000	0.000000	0.000000	0.105032	0.095032	0.095032	0.105032
11.460000	0.000000	0.000000	0.105411	0.095411	0.095411	0.105411
11.470000	0.000000	0.000000	0.105790	0.095790	0.095790	0.105790
11.480000	0.000000	0.000000	0.106170	0.096170	0.096170	0.106170
11.490000	0.000000	0.000000	0.106549	0.096549	0.096549	0.106549
11.500000	0.080000	0.391918	0.106928	0.096928	0.096928	0.106928
