# Energy shift = 0.7
# a_0: 0.4 +- 1.0, domain: [20.7eV ,21.47eV]
# Y-offset = 0.0+-0.0199, AE = 21.5587+-0.0046, Scale Factor = 52.6742+-0.3024, Alpha = 1.1791+-0.0155
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)
20.700000	0.760000	1.379275	0.369045	0.369045	0.369045
20.710000	0.720000	1.865905	0.369045	0.369045	0.369045
20.720000	0.320000	0.835225	0.369045	0.369045	0.369045
20.730000	0.400000	1.058301	0.369045	0.369045	0.369045
20.740000	0.640000	1.670449	0.369045	0.369045	0.369045
20.750000	0.680000	1.420422	0.369045	0.369045	0.369045
20.760000	0.400000	1.058301	0.369045	0.369045	0.369045
20.770000	0.640000	1.410815	0.369045	0.369045	0.369045
20.780000	0.280000	1.059056	0.369045	0.369045	0.369045
20.790000	0.520000	1.252837	0.369045	0.369045	0.369045
20.800000	0.440000	1.151694	0.369045	0.369045	0.369045
20.810000	0.200000	0.721110	0.369045	0.369045	0.369045
20.820000	0.600000	1.216553	0.369045	0.369045	0.369045
20.830000	0.400000	0.800000	0.369045	0.369045	0.369045
20.840000	0.280000	0.693974	0.369045	0.369045	0.369045
20.850000	0.640000	1.717673	0.369045	0.369045	0.369045
20.860000	0.440000	1.219180	0.369045	0.369045	0.369045
20.870000	0.640000	1.410815	0.369045	0.369045	0.369045
20.880000	0.040000	0.280000	0.369045	0.369045	0.369045
20.890000	0.600000	1.341641	0.369045	0.369045	0.369045
20.900000	0.600000	1.280625	0.369045	0.369045	0.369045
20.910000	0.440000	1.219180	0.369045	0.369045	0.369045
20.920000	0.560000	1.202664	0.369045	0.369045	0.369045
20.930000	0.320000	0.835225	0.369045	0.369045	0.369045
20.940000	0.280000	0.895321	0.369045	0.369045	0.369045
20.950000	0.400000	1.264911	0.369045	0.369045	0.369045
20.960000	0.680000	1.362938	0.369045	0.369045	0.369045
20.970000	0.560000	1.387948	0.369045	0.369045	0.369045
20.980000	0.520000	1.252837	0.369045	0.369045	0.369045
20.990000	0.200000	0.721110	0.369045	0.369045	0.369045
21.000000	0.280000	0.800999	0.369045	0.369045	0.369045
21.010000	0.280000	0.800999	0.369045	0.369045	0.369045
21.020000	0.880000	1.505191	0.369045	0.369045	0.369045
21.030000	0.720000	1.483779	0.369045	0.369045	0.369045
21.040000	0.560000	1.387948	0.369045	0.369045	0.369045
21.050000	0.680000	1.815930	0.369045	0.369045	0.369045
21.060000	0.240000	0.763151	0.369045	0.369045	0.369045
21.070000	0.360000	0.954149	0.369045	0.369045	0.369045
21.080000	0.480000	1.170299	0.369045	0.369045	0.369045
21.090000	0.200000	0.721110	0.369045	0.369045	0.369045
21.100000	0.480000	1.099818	0.369045	0.369045	0.369045
21.110000	0.800000	1.496663	0.369045	0.369045	0.369045
21.120000	0.680000	1.678571	0.369046	0.369045	0.369046
21.130000	0.360000	1.245151	0.369046	0.369045	0.369046
21.140000	0.520000	1.117855	0.369046	0.369045	0.369046
21.150000	0.520000	1.117855	0.369046	0.369045	0.369046
21.160000	0.800000	1.600000	0.369047	0.369045	0.369047
21.170000	0.400000	0.979796	0.369048	0.369045	0.369048
21.180000	0.280000	0.800999	0.369050	0.369045	0.369050
21.190000	0.400000	0.894427	0.369054	0.369045	0.369054
21.200000	0.400000	1.058301	0.369061	0.369045	0.369061
21.210000	0.520000	1.315143	0.369072	0.369045	0.369072
21.220000	0.440000	1.003195	0.369091	0.369045	0.369091
21.230000	0.560000	1.267438	0.369121	0.369045	0.369121
