# Energy shift = 0.0
# Y-offset = 0.0006+-0.0022 AE = 8.993+-0.0878 Scale Factor = 0.3018+-0.0481 Alpha = 1.4523+-0.2115
# Y-offset = 0.0+-0.0713 AE = 12.5456+-0.0522 Scale Factor = 6.7934+-0.5653 Alpha = 1.3998+-0.1094
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2
6.500000	2.040000	1.232221	0.000639	0.000639	0.000000
6.530000	0.000000	0.000000	0.000639	0.000639	0.000000
6.560000	0.000000	0.000000	0.000639	0.000639	0.000000
6.590000	0.000000	0.000000	0.000639	0.000639	0.000000
6.620000	0.000000	0.000000	0.000639	0.000639	0.000000
6.650000	0.000000	0.000000	0.000639	0.000639	0.000000
6.680000	0.000000	0.000000	0.000639	0.000639	0.000000
6.710000	0.000000	0.000000	0.000639	0.000639	0.000000
6.740000	0.000000	0.000000	0.000639	0.000639	0.000000
6.770000	0.000000	0.000000	0.000639	0.000639	0.000000
6.800000	0.000000	0.000000	0.000639	0.000639	0.000000
6.830000	0.000000	0.000000	0.000639	0.000639	0.000000
6.860000	0.000000	0.000000	0.000639	0.000639	0.000000
6.890000	0.000000	0.000000	0.000639	0.000639	0.000000
6.920000	0.000000	0.000000	0.000639	0.000639	0.000000
6.950000	0.000000	0.000000	0.000639	0.000639	0.000000
6.980000	0.000000	0.000000	0.000639	0.000639	0.000000
7.010000	0.000000	0.000000	0.000639	0.000639	0.000000
7.040000	0.000000	0.000000	0.000639	0.000639	0.000000
7.070000	0.000000	0.000000	0.000639	0.000639	0.000000
7.100000	0.040000	0.039598	0.000639	0.000639	0.000000
7.130000	0.000000	0.000000	0.000639	0.000639	0.000000
7.160000	0.000000	0.000000	0.000639	0.000639	0.000000
7.190000	0.000000	0.000000	0.000639	0.000639	0.000000
7.220000	0.000000	0.000000	0.000639	0.000639	0.000000
7.250000	0.000000	0.000000	0.000639	0.000639	0.000000
7.280000	0.000000	0.000000	0.000639	0.000639	0.000000
7.310000	0.000000	0.000000	0.000639	0.000639	0.000000
7.340000	0.000000	0.000000	0.000639	0.000639	0.000000
7.370000	0.000000	0.000000	0.000639	0.000639	0.000000
7.400000	0.000000	0.000000	0.000639	0.000639	0.000000
7.430000	0.000000	0.000000	0.000639	0.000639	0.000000
7.460000	0.040000	0.039598	0.000639	0.000639	0.000000
7.490000	0.000000	0.000000	0.000639	0.000639	0.000000
7.520000	0.000000	0.000000	0.000639	0.000639	0.000000
7.550000	0.000000	0.000000	0.000639	0.000639	0.000000
7.580000	0.040000	0.039598	0.000639	0.000639	0.000000
7.610000	0.000000	0.000000	0.000639	0.000639	0.000000
7.640000	0.000000	0.000000	0.000639	0.000639	0.000000
7.670000	0.000000	0.000000	0.000639	0.000639	0.000000
7.700000	0.000000	0.000000	0.000639	0.000639	0.000000
7.730000	0.000000	0.000000	0.000639	0.000639	0.000000
7.760000	0.000000	0.000000	0.000639	0.000639	0.000000
7.790000	0.000000	0.000000	0.000639	0.000639	0.000000
7.820000	0.080000	0.079196	0.000639	0.000639	0.000000
7.850000	0.000000	0.000000	0.000639	0.000639	0.000000
7.880000	0.000000	0.000000	0.000639	0.000639	0.000000
7.910000	0.000000	0.000000	0.000639	0.000639	0.000000
7.940000	0.000000	0.000000	0.000639	0.000639	0.000000
7.970000	0.000000	0.000000	0.000639	0.000639	0.000000
8.000000	0.000000	0.000000	0.000639	0.000639	0.000000
8.030000	0.000000	0.000000	0.000639	0.000639	0.000000
8.060000	0.000000	0.000000	0.000639	0.000639	0.000000
8.090000	0.000000	0.000000	0.000639	0.000639	0.000000
8.120000	0.000000	0.000000	0.000639	0.000639	0.000000
8.150000	0.040000	0.039598	0.000639	0.000639	0.000000
8.180000	0.000000	0.000000	0.000639	0.000639	0.000000
8.210000	0.000000	0.000000	0.000639	0.000639	0.000000
8.240000	0.000000	0.000000	0.000639	0.000639	0.000000
8.270000	0.000000	0.000000	0.000639	0.000639	0.000000
8.300000	0.000000	0.000000	0.000639	0.000639	0.000000
8.330000	0.080000	0.079196	0.000639	0.000639	0.000000
8.360000	0.000000	0.000000	0.000639	0.000639	0.000000
8.390000	0.080000	0.079196	0.000639	0.000639	0.000000
8.420000	0.000000	0.000000	0.000639	0.000639	0.000000
8.450000	0.160000	0.124451	0.000639	0.000639	0.000000
8.480000	0.160000	0.124451	0.000640	0.000640	0.000000
8.510000	0.160000	0.110851	0.000640	0.000640	0.000000
8.540000	0.000000	0.000000	0.000641	0.000641	0.000000
8.570000	0.040000	0.039598	0.000642	0.000642	0.000000
8.600000	0.040000	0.039598	0.000647	0.000647	0.000000
8.630000	0.040000	0.039598	0.000657	0.000657	0.000000
8.660000	0.040000	0.039598	0.000679	0.000679	0.000000
8.690000	0.160000	0.110851	0.000723	0.000723	0.000000
8.720000	0.200000	0.116619	0.000810	0.000810	0.000000
8.750000	0.000000	0.000000	0.000972	0.000972	0.000000
8.780000	0.000000	0.000000	0.001258	0.001258	0.000000
8.810000	0.000000	0.000000	0.001742	0.001742	0.000000
8.840000	0.120000	0.087818	0.002525	0.002525	0.000000
8.870000	0.240000	0.166277	0.003738	0.003738	0.000000
8.900000	0.280000	0.113278	0.005537	0.005537	0.000000
8.930000	0.000000	0.000000	0.008102	0.008102	0.000000
8.960000	0.000000	0.000000	0.011617	0.011617	0.000000
8.990000	0.160000	0.076733	0.016261	0.016261	0.000000
9.020000	0.320000	0.130966	0.022188	0.022188	0.000000
9.050000	0.240000	0.107926	0.029517	0.029517	0.000000
9.080000	0.120000	0.067171	0.038317	0.038317	0.000000
9.110000	0.200000	0.141421	0.048612	0.048612	0.000000
9.140000	0.080000	0.055426	0.060379	0.060379	0.000000
9.170000	0.120000	0.067171	0.073562	0.073562	0.000000
9.200000	0.040000	0.039598	0.088079	0.088079	0.000000
9.230000	0.240000	0.121852	0.103839	0.103839	0.000000
9.260000	0.240000	0.121852	0.120746	0.120746	0.000000
